"","Accession","Latitude","Longitude","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19","offset_20","offset_21"
"1","IS10068",10.6333,-4.76666,0.0248972796870263,0.0450679199374667,0.0412171125685783,0.0414348943060041,0.0248475615130019,0.00972392744025153,0.00910904422468985,0.0235349285370169,0.0101221911106316,0.00610609243351367,0.00387418723458347,0.00479395090593891,0.0177868218339849,0.0192433575693158,0.0169054213905813,0.0191360904873273,0.00337884811558963
"2","IS10189",11.19999981,-4.300000191,0.0248972796870263,0.0450679199374667,0.0412171125685783,0.0414348943060041,0.0248475615130019,0.00972392744025153,0.00910904422468985,0.0235349285370169,0.0101221911106316,0.00610609243351367,0.00387418723458347,0.00479395090593891,0.0177868218339849,0.0192433575693158,0.0169054213905813,0.0191360904873273,0.00337884811558963
"3","IS10191",12.01000023,-0.100000001,0.0400894174963401,0.0459025847774848,0.142494098718111,0.036460244661845,0.0327904476105731,0.0192839440871861,0.0240401869591077,0.018619310485592,0.0203514771540059,0.0217262013959614,0.015847188934852,0.00599807046533912,0.00866792296197976,0.0093307451145352,0.003920670237883,0.00816304756802084,0.0176710666990585
"4","IS1036",18.64999962,72.87000275,0.0610190299839862,0.107529015599557,0.0304525890977638,0.0304209627648446,0.0371490951737375,0.0212902323831724,0.0147434019651683,0.0109283482752821,0.0118616783288008,0.0186205066239482,0.0254481593230785,0.00892544886421488,0.0245786165112444,0.0111216760560763,0.0195897162462916,0.0262376054277788,0.016654888704287
"5","IS10876",9.75,8.380000114,0.0292360660795191,0.110460741420518,0.0406571951790092,0.0453214673112771,0.02594968924282,0.0165240664885787,0.0150490731314144,0.0131151515854244,0.0157710633020909,0.00582989004830627,0.00375386900116623,0.0071336756009416,0.011597640560969,0.00193968149299513,0.0117038386215916,0.0172418513521776,0.00371142808542392
"6","IS10882",9.75,8.380000114,0.0292360660795191,0.110460741420518,0.0406571951790092,0.0453214673112771,0.02594968924282,0.0165240664885787,0.0150490731314144,0.0131151515854244,0.0157710633020909,0.00582989004830627,0.00375386900116623,0.0071336756009416,0.011597640560969,0.00193968149299513,0.0117038386215916,0.0172418513521776,0.00371142808542392
"7","IS1106",12.97000027,77.58000183,0.0508965798664159,0.0185742228508614,0.0263483709789017,0.0251430683622012,0.0316342370946166,0.0112190550086615,0.00836836413454026,0.0224911969471366,0.0120542032252363,0.00902796300689834,0.0166131626318132,0.0120170393913868,0.0151880616749654,0.0208212676362838,0.0229373447185763,0.0236163188793867,0.0239581170901536
"8","IS1107",22.42000008,75.54000092,0.0508814189503699,0.0984804501587927,0.122961736477437,0.0695317210405861,0.034211411751691,0.02731263978541,0.0551759243494796,0.0546691621144394,0.0304462411447561,0.0279768289779654,0.0367773050510451,0.028566656402315,0.0281925338315432,0.0271437002579936,0.0293946697346527,0.0341492500618575,0.0346224292152153
"9","IS11424",4.880000114,38.08000183,0.0401233551915195,0.10851249383317,0.139775128365192,0.160477683115952,0.146549983424614,0.0407953674828639,0.0368905974813581,0.0452437148378868,0.0416599155235108,0.0451498878076138,0.0248624029488388,0.00531350686838172,0.0230560395894472,0.0258229631348315,0.0155047493685337,0.0282013795454438,0.00584353060796863
"10","IS11431",6.179999828,35.56000137,0.0225829434786923,0.145277732621273,0.195728224226349,0.0592600692063571,0.0382466506753704,0.0390029482829992,0.0312432999417751,0.0262579379578777,0.0246712508284673,0.0212706513004272,0.0212612573878718,0.011954581453047,0.0115828585080623,0.010694427649711,0.00982174149805326,0.00671378819425688,0.0144369351781905
