"","Accession","Latitude","Longitude","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19"
"1","IS10068",10.6333,-4.76666,0.017196360409613,0.0171865253549964,0.0119246182573146,0.00181852577432556,0.0025625056350751,0.00246153759736677,0.00242261710520936,0.00366767861067214,0.00177104992824158,0.00351565247766922,0.0134352542788169,0.00344997751849191,0.00293595396887866,0.00128576494262965,0.0186184945536263
"2","IS10189",11.19999981,-4.300000191,0.017196360409613,0.0171865253549964,0.0119246182573146,0.00181852577432556,0.0025625056350751,0.00246153759736677,0.00242261710520936,0.00366767861067214,0.00177104992824158,0.00351565247766922,0.0134352542788169,0.00344997751849191,0.00293595396887866,0.00128576494262965,0.0186184945536263
"3","IS10191",12.01000023,-0.100000001,0.00670352606992032,0.00746912126440299,0.0228153392312505,0.00395447215752962,0.0107419372263087,0.00697671462534354,0.0139691758551367,0.0152562612930736,0.0152419392975284,0.0134051449047827,0.00813061614574124,0.00628917463104321,0.00677685507947225,0.00641705658058373,0.00733060288080768
"4","IS1036",18.64999962,72.87000275,0.00395434628244398,0.00138903861732862,0.00159534192148575,0.00374776815750128,0.00154999241560581,0.00549678854667658,0.000297146108087169,0.0019063318754675,0.0037916422061145,0.0024144776862938,0.00518640468797227,0.00355000557984392,0.00421474056665071,0.000315916747742403,0.00038113351419474
"5","IS10876",9.75,8.380000114,0.0111171668930257,0.000939411312901199,0.000692568401187747,0.00110857954641248,0.00123338895928176,0.000576971589018586,0.000965067178760165,0.00299621099530617,0.0027609309353835,0.00159302409638525,0.00131409143537602,0.00260097397538088,0.0122348172644252,0.00127446635194152,0.000505278888239571
"6","IS10882",9.75,8.380000114,0.0111171668930257,0.000939411312901199,0.000692568401187747,0.00110857954641248,0.00123338895928176,0.000576971589018586,0.000965067178760165,0.00299621099530617,0.0027609309353835,0.00159302409638525,0.00131409143537602,0.00260097397538088,0.0122348172644252,0.00127446635194152,0.000505278888239571
"7","IS1106",12.97000027,77.58000183,0.00364320924023583,0.00224766485259439,0.0056824947289882,0.00418617184569229,0.0152226072702574,0.00323625523434829,0.00324628817788949,0.00298616365654027,0.0029423833485466,0.0144901156099349,0.00355490152152717,0.00366033099146954,0.0158448998885874,0.00313961500793016,0.00660730929999605
"8","IS1107",22.42000008,75.54000092,0.00190407018504965,0.002221057504219,0.00643774338538393,0.00259814951609278,0.00366134819670546,0.0028483141327076,0.00681396200782229,0.00174977715898207,0.00219161931373208,0.00201456351291006,0.00246543713913159,0.0108218264264283,0.00355199509349365,0.0010799558173631,0.0027912168902039
"9","IS11424",4.880000114,38.08000183,0.0276396773332588,0.0135242789586337,0.0190645919441033,0.0312905472211361,0.0326555914300223,0.0269385602514513,0.0229493878903258,0.0289020546873399,0.002508456798497,0.0124966089941486,0.00610838317904701,0.0186710153860738,0.024693294254084,0.0164699081492935,0.0160150113282901
"10","IS11431",6.179999828,35.56000137,0.0202100788176256,0.0123445418192617,0.0195242943456521,0.0119995414555419,0.0210900631963031,0.0112117574442201,0.011511074072168,0.00948730453482705,0.00872157596380479,0.0203291263088731,0.00547294817891337,0.0110699991671684,0.0190010955991087,0.0115446817444276,0.0117246447290134
