"","Accession","Latitude","Longitude","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19"
"1","IRGC_117276",35.859167,127.335556,0.0524922473730873,0.0883839121600949,0.0857454767508034,0.0751666114369509,0.0610194859789848,0.0494309407804798,0.0545334432149883,0.0250566320881077,0.0195670077757664,0.0283768514856873,0.0197414375507139,0.0122045140901515,0.0172619957572452,0.0126030313018447,0.0108272206242782
"2","IRGC_121705",13.111389,121.047222,0.00279251204618778,0.00669561604629678,0.00539583410751795,0.0113223283175261,0.0103000983774437,0.0130999315688879,0.00960765465201528,0.00985597630275696,0.0110796277662356,0.00775568368752833,0.0062652293183434,0.00267512751599373,0.00603956705188531,0.0122808276565351,0.0129234171884546
"3","IRGC_122298",-4.8133889,104.7520944,0.0106355096582804,0.0078337305922187,0.00744206248795586,0.00741850779261221,0.00590361062798063,0.00801981082772259,0.00290367760548696,0.00311579776898929,0.00186969323245119,0.0051778444062752,0.00454349939027372,0.005595742068307,0.00197101769753593,0.00377341410034004,0.0021992681950089
"4","IRGC_16800",16.472778,106.660556,0.00891797901708172,0.0223324787690464,0.0258939440252683,0.0159399496902616,0.0126364810016806,0.0111153748985262,0.0150398329321114,0.0161352771143795,0.00720415161106237,0.0154669551133763,0.0107502502304441,0.0113438071046796,0.00890985633262595,0.00912526529441973,0.0122214133593414
"5","IRGC_16872",16.472778,106.660556,0.00891797901708172,0.0223324787690464,0.0258939440252683,0.0159399496902616,0.0126364810016806,0.0111153748985262,0.0150398329321114,0.0161352771143795,0.00720415161106237,0.0154669551133763,0.0107502502304441,0.0113438071046796,0.00890985633262595,0.00912526529441973,0.0122214133593414
"6","IRGC_24224",13.039444,101.491944,0.00746700376403456,0.0165213066670836,0.0169066143664709,0.00844918025166097,0.0118671614102902,0.00647457154767604,0.00419373955383032,0.0106173141251308,0.00477204285529754,0.00632925907332789,0.0071672762143661,0.00550236106568277,0.0104238897480644,0.00584664120605389,0.0099932611946999
"7","IRGC_27716",18.78333,99,0.0187771220571902,0.0167500267460586,0.0156530432736084,0.0154062513548545,0.0086778948835235,0.0107859303118167,0.0106343794487662,0.0104487101349253,0.00433112331557921,0.00878267354557226,0.00835815944548269,0.00841352239638164,0.00977869646310615,0.0101348420017544,0.0107485695574424
"8","IRGC_27748",13.533056,100.958056,0.0142433376528648,0.0152949912522793,0.0216912895768775,0.0134881595938851,0.0168161581282492,0.0162385472957777,0.00784958189664455,0.00923982013069542,0.00416139433431517,0.00850192582678935,0.0131405497083835,0.00807312585113388,0.0111159142593141,0.00947559717885218,0.00970688591264429
"9","IRGC_27762",13.039444,101.491944,0.00744860145908929,0.014186872208628,0.0143901691662205,0.00795519866670152,0.0087646054756132,0.00640685900899371,0.00417647936361881,0.0105239162889261,0.00478274351594527,0.0063337990207311,0.00679856413912522,0.00544797857095212,0.0103683657402097,0.00580680681571847,0.00993752481316543
"10","IRGC_30238",13.039444,101.491944,0.00744860145908929,0.014186872208628,0.0143901691662205,0.00795519866670152,0.0087646054756132,0.00640685900899371,0.00417647936361881,0.0105239162889261,0.00478274351594527,0.0063337990207311,0.00679856413912522,0.00544797857095212,0.0103683657402097,0.00580680681571847,0.00993752481316543
