"","Accession","Latitude","Longitude","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19","offset_20","offset_21"
"1","IRGC_117276",35.859167,127.335556,0.114314406005982,0.137812777598774,0.114157540650819,0.111779313028601,0.109799795882317,0.10735449227221,0.124969459227933,0.0828450945966394,0.0490345911251858,0.0349345595130882,0.023815183147729,0.0304220747014845,0.0275460694186186,0.0134053494043606,0.033978964730061,0.0169457013877435,0.0144910006435618
"2","IRGC_121705",13.111389,121.047222,0.0253855576501009,0.0399093422725556,0.0419366877068857,0.0586401090514795,0.0378314065063538,0.0312868968849788,0.0195748129463491,0.0109331502264554,0.00696182133812003,0.00783278238433996,0.017665559633084,0.0135593123680988,0.0155212928594663,0.0078207990977137,0.00885031303979864,0.0171045784339972,0.00682320425500834
"3","IRGC_122298",-4.8133889,104.7520944,0.0184332388582144,0.037245821357685,0.0486074338538632,0.0493389507067173,0.0346160171630997,0.0364079752882886,0.0244008586065901,0.014384631673491,0.00619430028861945,0.00640324759593526,0.00409086288004625,0.00493421033460416,0.00352494589509171,0.00202172973644708,0.0041889835527585,0.00865009225679184,0.0017386989743866
"4","IRGC_16800",16.472778,106.660556,0.032910303055831,0.072093183521655,0.0691697706657445,0.0410387061776013,0.0404751396370526,0.0277360751768155,0.0292335546499997,0.0129837253848388,0.0121699458370255,0.00930623585448398,0.00811006248089166,0.0214196602660044,0.00817693308976677,0.00861447499762547,0.00925293409033817,0.00869594873547171,0.00823600261645777
"5","IRGC_16872",16.472778,106.660556,0.032910303055831,0.072093183521655,0.0691697706657445,0.0410387061776013,0.0404751396370526,0.0277360751768155,0.0292335546499997,0.0129837253848388,0.0121699458370255,0.00930623585448398,0.00811006248089166,0.0214196602660044,0.00817693308976677,0.00861447499762547,0.00925293409033817,0.00869594873547171,0.00823600261645777
"6","IRGC_24224",13.039444,101.491944,0.0198086431676342,0.0516907025126932,0.0816120363150574,0.0569950278238242,0.037984990510352,0.0508914970599173,0.0259486434027069,0.0126634966296212,0.00561863096043332,0.00194118548026049,0.0103062987105659,0.0154396782410189,0.00901609885428641,0.00871718290425524,0.0100642347284541,0.00648654015652852,0.011192491335024
"7","IRGC_27716",18.78333,99,0.0373135352772184,0.0753006198627084,0.0795410387212244,0.0786336726993307,0.0609708153696755,0.0494241978796071,0.030853666911767,0.0245816638116203,0.0133726816126991,0.00628735999607149,0.00596166844237058,0.0152432207591448,0.0088422968375123,0.00726966461540561,0.0123473620961556,0.010150911477084,0.0101536578628525
"8","IRGC_27748",13.533056,100.958056,0.0175318298796071,0.0669761928672247,0.0479828311426935,0.0459389817057609,0.0326983333807265,0.0320333848869584,0.0215336931501585,0.0119627354877646,0.00797895755780005,0.0136684683562835,0.00620623101016797,0.0130587275987983,0.00411162147830054,0.0105850748981063,0.0104956780231699,0.00509044002157943,0.010015715963749
"9","IRGC_27762",13.039444,101.491944,0.0197525710523856,0.0533362119399965,0.0850955153201256,0.056404468230524,0.0379479166812401,0.0509234372662532,0.0259600404682718,0.0126421003154072,0.00555213264255156,0.00188634062488039,0.0102500054598247,0.0153918967249397,0.00895705590597646,0.00865982290744507,0.0100092132113027,0.00641676910945396,0.0111365656646247
"10","IRGC_30238",13.039444,101.491944,0.0197525710523856,0.0533362119399965,0.0850955153201256,0.056404468230524,0.0379479166812401,0.0509234372662532,0.0259600404682718,0.0126421003154072,0.00555213264255156,0.00188634062488039,0.0102500054598247,0.0153918967249397,0.00895705590597646,0.00865982290744507,0.0100092132113027,0.00641676910945396,0.0111365656646247
"11","IRGC_31",2.030278,109.6425,0.0186895091059816,0.0407359251313639,0.053121896795325,0.0409997453950377,0.0416121766394078,0.0281869456537394,0.0188885654301689,0.0187571453160554,0.00700671010288554,0.0102870199808766,0.00301433464875672,0.00291375879089281,0.00410099437213293,0.0100857949293948,0.0142499236332481,0.0134657813031564,0.00173988504499648
