"","Accession","Latitude","Longitude","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19"
"1","IS10068",10.6333,-4.76666,0.0293505020536141,0.00512459010365977,0.0122736342814655,0.011303886017712,0.0132432795703277,0.00333132762209368,0.011814153494842,0.00357286707142341,0.0177704816954289,0.0119710118251754,0.0115501153191401,0.0116663798232768,0.015056407416742,0.00276039684636993,0.00622984703192066
"2","IS10189",11.19999981,-4.300000191,0.0293505020536141,0.00512459010365977,0.0122736342814655,0.011303886017712,0.0132432795703277,0.00333132762209368,0.011814153494842,0.00357286707142341,0.0177704816954289,0.0119710118251754,0.0115501153191401,0.0116663798232768,0.015056407416742,0.00276039684636993,0.00622984703192066
"3","IS10191",12.01000023,-0.100000001,0.0357999089875727,0.0158436219420406,0.00778098655868931,0.0150477669490824,0.00970961153162825,0.0151095456318658,0.00737251408963921,0.0145281473153577,0.00792833795753725,0.0123896216756992,0.00202099625252872,0.00171329533066819,0.0090254160636491,0.00609692584590339,0.0135266980860095
"4","IS1036",18.64999962,72.87000275,0.00261088215404947,0.0286834067019869,0.00498004754100178,0.00460369477271317,0.00160735729449276,0.00466558358910768,0.0259827494970731,0.000430930581756584,0.00327103817218246,0.00247120483843415,0.00128209000156284,0.0238023948335888,0.00512333346679303,0.00213187544304761,0.0034998961692877
"5","IS10876",9.75,8.380000114,0.0155994877693474,0.00428864363904507,0.00118280249735012,0.00134453107163736,0.00961173265682092,0.00166513920748503,0.00188436382821518,0.00102676792983413,0.00117759520881137,0.000942001873335002,0.00105991142366073,0.0127069662662693,0.00559385981471981,0.00220192064666782,0.00121745108889218
"6","IS10882",9.75,8.380000114,0.0155994877693474,0.00428864363904507,0.00118280249735012,0.00134453107163736,0.00961173265682092,0.00166513920748503,0.00188436382821518,0.00102676792983413,0.00117759520881137,0.000942001873335002,0.00105991142366073,0.0127069662662693,0.00559385981471981,0.00220192064666782,0.00121745108889218
"7","IS1106",12.97000027,77.58000183,0.014493170487435,0.00352310492581397,0.00257458378324482,0.00335489758325956,0.00263993607739389,0.00404130336523297,0.00721027787436329,0.00466462070934533,0.00337333027987822,0.0157870105691597,0.00404075987236466,0.0203838258407736,0.00292431266346448,0.00259365628728845,0.00348965248368081
"8","IS1107",22.42000008,75.54000092,0.0141048580458558,0.0366972411885179,0.0229519579821224,0.00347730125182389,0.0112134183870402,0.00305375017894736,0.0374409493191269,0.0234943473187272,0.0012807676743904,0.00333840874085558,0.0228649632121638,0.00326690323244502,0.00243120598453805,0.00341366514264878,0.00334279218658787
"9","IS11424",4.880000114,38.08000183,0.029869606439567,0.0198816246100972,0.00556147538310949,0.0405489002748043,0.00476115776600673,0.0348751703729197,0.0314509537733432,0.00786720665109994,0.0143063744053221,0.021130445009595,0.0135711099779643,0.0154991793344922,0.018463584516275,0.00318668658374884,0.00296268668637638
"10","IS11431",6.179999828,35.56000137,0.00869265842503814,0.0312426432859874,0.00449822910627452,0.0231682671617538,0.00844600603413053,0.0195247001891143,0.00987811494100357,0.0138059046701335,0.00255415862889476,0.0108894049415538,0.00864802182309643,0.0103556064900675,0.00776795268416972,0.0198926160848566,0.0226689228449988
"11","IS1182",25.57999992,85.25,0.0147012029507171,0.025490355533751,0.0107898978366338,0.0153683419834422,0.0267407533125002,0.0224390875491851,0.0318129744686807,0.0150567872597776,0.0134879883186815,0.0152416293649481,0.0141528009362012,0.013976136335462,0.0130864277594517,0.0196945607977916,0.00506513397390489
"12","IS1186",12.93000031,79.12999725,0.00367586666477841,0.00221440067154233,0.00180502590515803,0.00174580025162361,0.0215645941615637,0.0029733460260397,0.00574442266925889,0.00301693027890623,0.0142090310025995,0.00328614653175027,0.0019661291842207,0.0189358621680819,0.00210496191790059,0.00252720868225392,0.00343640340294567
