"","Accession","Latitude","Longitude","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19"
"1","IS10068",10.6333,-4.76666,0.0305686570235221,0.0274335226231751,0.00313650159127092,0.00420764505432415,0.00556143803863864,0.0232016623664916,0.00456632278417921,0.0093340129506215,0.00175053687461211,0.0120853338587658,0.003355528080423,0.0135769719333896,0.010979528725217,0.0120368389728692,0.00695361318042575
"2","IS10189",11.19999981,-4.300000191,0.0305686570235221,0.0274335226231751,0.00313650159127092,0.00420764505432415,0.00556143803863864,0.0232016623664916,0.00456632278417921,0.0093340129506215,0.00175053687461211,0.0120853338587658,0.003355528080423,0.0135769719333896,0.010979528725217,0.0120368389728692,0.00695361318042575
"3","IS10191",12.01000023,-0.100000001,0.0257518105081063,0.0248183551868261,0.0175607926647853,0.0157705266841395,0.0141185799611276,0.0198294246827374,0.0152723277267837,0.0151873260865753,0.00864230924886607,0.00246063640149995,0.0137411427679278,0.00743533042489639,0.00606623365604927,0.00832397514366916,0.014123935276853
"4","IS1036",18.64999962,72.87000275,0.021096529147845,0.0362363605496611,0.0271838965134546,0.0196130341834426,0.00369256363741717,0.00205765365215379,0.00649918865145204,0.00417979308980585,0.00484376397117484,0.00388851333268503,0.00109963474826339,0.0042824163090132,0.00127030800319947,0.000852680572090366,0.0041924522731494
"5","IS10876",9.75,8.380000114,0.00527949693528605,0.00763530999967859,0.00382074834618679,0.00341015130865391,0.00362357182434499,0.00232841525196987,0.00263671469112961,0.00131943113758106,0.00119930312292806,0.00081322738312531,0.00154716090034491,0.000320206065405599,0.00116569316779453,0.0111260943589367,0.0134501673828491
"6","IS10882",9.75,8.380000114,0.00527949693528605,0.00763530999967859,0.00382074834618679,0.00341015130865391,0.00362357182434499,0.00232841525196987,0.00263671469112961,0.00131943113758106,0.00119930312292806,0.00081322738312531,0.00154716090034491,0.000320206065405599,0.00116569316779453,0.0111260943589367,0.0134501673828491
"7","IS1106",12.97000027,77.58000183,0.00674629672036557,0.01471589059513,0.00393298781995358,0.0237250693499893,0.0239322665838505,0.00245723844088063,0.0028174092618337,0.00394236377378858,0.0146731820377282,0.00400999014270686,0.00232753266940197,0.0061478948701851,0.0035735338722572,0.00286714429786198,0.00278086754332769
"8","IS1107",22.42000008,75.54000092,0.0324391684062298,0.0439746231435473,0.0338093887687735,0.0292986932658325,0.025219729506012,0.0122211258354473,0.00330735928383964,0.00187784667065905,0.00352022032883488,0.00409679625571916,0.0021152849274713,0.00320171753612796,0.00164154754990991,0.00165372901458538,0.00239837242762954
"9","IS11424",4.880000114,38.08000183,0.0335060468065142,0.020515148829395,0.0213095351927259,0.0235554745090436,0.0168158414211818,0.0229738614876874,0.0275676359647833,0.0174301502894383,0.0208758340202535,0.00726520292550529,0.0189700027110516,0.00380770364736548,0.00368775946893888,0.0240022231104775,0.036530626102849
"10","IS11431",6.179999828,35.56000137,0.0186732498121143,0.0209277898550726,0.015922742792348,0.00892854771474037,0.00840706771383798,0.0209281534441019,0.0199450664927458,0.00962929003328528,0.0167642242709657,0.0105655076717607,0.0199417128993931,0.00645697377309034,0.00884100569881188,0.0200290630552481,0.012997304045277
