"","Accession","Latitude","Longitude","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19"
"1","IRGC_10430",23.6,120.653889,0.0122620146014316,0.0217772523188694,0.0361231046901051,0.0147908759193972,0.0350295425907596,0.0133887829394617,0.0192837179706103,0.0120484670492749,0.00980123879738123,0.0165255568616694,0.0171629749954516,0.0365295620911199,0.0146102139121257,0.0187410746162554,0.0150501334738561
"2","IRGC_117279",23.6,120.653889,0.0122620146014316,0.0217772523188694,0.0361231046901051,0.0147908759193972,0.0350295425907596,0.0133887829394617,0.0192837179706103,0.0120484670492749,0.00980123879738123,0.0165255568616694,0.0171629749954516,0.0365295620911199,0.0146102139121257,0.0187410746162554,0.0150501334738561
"3","IRGC_12731",34.783889,134.375278,0.0186419542691916,0.0517374593529202,0.0499198154203065,0.0367914342359949,0.0167512695292781,0.0123718293929642,0.0232511849886787,0.0128048801481976,0.00387707543174388,0.00488311122029057,0.00451479224981607,0.0039710481829693,0.00481302703316343,0.0032626578897041,0.0276533405801975
"4","IRGC_14413",-4.69,119.630278,0.0117848661658026,0.0035232946630331,0.00351026513235037,0.00371665132143422,0.00252453894227545,0.00148583301281706,0.0114118888675651,0.00500185258203178,0.00353832267634479,0.0206470095055821,0.00368769155500556,0.00406580474524862,0.00452902198547243,0.00347115917280086,0.00423629924281968
"5","IRGC_14779",34.783889,134.375278,0.0190946744801058,0.052031053520782,0.0502218568609942,0.0370764778486928,0.0173466916009226,0.0142049912800149,0.0236271356961695,0.0135351694863846,0.0060707435735349,0.00517873087623619,0.00645793747650764,0.00358904969023099,0.00797540393426396,0.00544382026270523,0.0292519138085118
"6","IRGC_23364",14.065,121.180833,0.0268268066070771,0.0120919785641807,0.00545043421207662,0.00244145504405641,0.00174741965975838,0.0056371625296203,0.00273538509049971,0.00662152428782858,0.00230463098466597,0.00460060281088088,0.00212462000016425,0.0222172574816276,0.00186377978072225,0.00722615636660617,0.0166246864792814
"7","IRGC_25897",24.25,90,0.00686811720209123,0.0425471168014151,0.0279140670558333,0.0316593854388841,0.0291972148590622,0.037762673224141,0.0163079368248173,0.0374539519706404,0.0110138234102963,0.0275403137619512,0.0266525463346896,0.0224497545871986,0.0265434248663198,0.0335565952514094,0.0310706929823036
"8","IRGC_27129",-2.690556,119.025833,0.0207305764527878,0.00144980797474137,0.00322829608658267,0.00825882746700795,0.0050501014392085,0.00398839699003827,0.00136751335752845,0.00908239117276595,0.00127584568375972,0.00558697511105477,0.00333597622303001,0.00165666048622455,0.0011232049555288,0.00182655503816639,0.00187560067624772
"9","IRGC_328",9.446111,118.392778,0.0163873956796067,0.0152335224199663,0.00336666758545337,0.00473469051978517,0.0154965664509216,0.0118358268497093,0.00135520773324028,0.0158558581404881,0.0131943080894967,0.00789090136976869,0.0144650972824251,0.0266318929837341,0.0094275161717175,0.00445236887647997,0.00461373534454425
"10","IRGC_33130",18.683611,96.683056,0.0243481071194507,0.0166782456364704,0.0280418042423813,0.00699193633568629,0.00517109960198768,0.0134087539852138,0.00456250845492786,0.00823563400303542,0.0122682823775108,0.00792323717433752,0.0127776876598577,0.00870987199148272,0.0156482672102276,0.011262318105581,0.0217532669656383
"11","IRGC_35834",-6.75,107.499722,0.0231917043594673,0.00536618285953902,0.00410685247184978,0.00388025675012488,0.00470758183272589,0.0063808855585432,0.00304919316634064,0.00230030744512044,0.00354215925263592,0.00356621035405258,0.00272133635695275,0.00617653410837449,0.00415700613833339,0.00605401951669197,0.00312672190890109
"12","IRGC_3849",13.111389,121.047222,0.00112305529051118,0.00723169282156983,0.00326564205991412,0.0122880224704667,0.00951597538348716,0.0077564331149333,0.00640211667918863,0.0143585906293492,0.0208609790390756,0.0115997221282956,0.0116230342238509,0.0140926831291466,0.0102704972854876,0.00691692953817245,0.0101923603195408
"13","IRGC_38698",35.203333,72.001667,0.0767638010585305,0.112426279124074,0.110311385754087,0.08465849962992,0.0925819958325382,0.0773956035082004,0.0814877133409906,0.0504372092592292,0.0713669042011082,0.0176062821795789,0.0504817272426275,0.0545370696591276,0.0348998806593505,0.084936656655797,0.0425644782903613
"14","IRGC_4020",13.111389,121.047222,0.00112305529051118,0.00723169282156983,0.00326564205991412,0.0122880224704667,0.00951597538348716,0.0077564331149333,0.00640211667918863,0.0143585906293492,0.0208609790390756,0.0115997221282956,0.0116230342238509,0.0140926831291466,0.0102704972854876,0.00691692953817245,0.0101923603195408
