"","Accession","Latitude","Longitude","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19"
"1","FT218",31.77,35.11,0.0543215805910079,0.0233979396969524,0.0175935890392955,0.0167177328044052,0.0134047337979364,0.0127749580263819,0.0133261483780643,0.00985348750139659,0.0114301808595467,0.0137634807504647,0.00526453674960459,0.00853577044823033,0.011261003688041,0.00780975866037969,0.00416115987292558
"2","FT462",37.78,39.78,0.0801536426308767,0.0372762886954682,0.0341877883298082,0.0318347252364879,0.0277463184718844,0.0227329821846068,0.0378405766379243,0.0326981500932767,0.0353370062890418,0.0466928737368729,0.00987733103787264,0.0313240238879961,0.015830662263075,0.0104697694122973,0.014073093460071
"3","FT473",37.66,37.79,0.0768684265215894,0.0348730591499791,0.0325642422853393,0.0298547551791512,0.0250461034194039,0.0178040176150935,0.0353474556846513,0.024344690101997,0.0104427890210845,0.0491591785208844,0.0135248779417381,0.0342054975697655,0.0154108121231345,0.010606064560067,0.0209259538432404
"4","FT730",37.33,37.27,0.0768684265215894,0.0348730591499791,0.0325642422853393,0.0298547551791512,0.0250461034194039,0.0178040176150935,0.0353474556846513,0.024344690101997,0.0104427890210845,0.0491591785208844,0.0135248779417381,0.0342054975697655,0.0154108121231345,0.010606064560067,0.0209259538432404
"5","HOR4724",40.18,44.52,0.0569291610316861,0.0239499241519673,0.0276900689109724,0.0248905111523914,0.0209678809504057,0.0167705516907684,0.0150501255411974,0.0129557657495565,0.010069241963867,0.00910800795186458,0.0094096608271758,0.0113158940190047,0.00486168884808408,0.00500133359320513,0.00436071852106372
"6","HOR3950",47.01,13.17,0.0444375975037767,0.031524426419068,0.0333364950328778,0.0332720218997097,0.0343767287144311,0.0354102732279335,0.026733514520665,0.0272172145630616,0.00900721628534499,0.00759277208637024,0.00608974590777753,0.0121843470945573,0.00933799192976521,0.00229183288130065,0.00274962108972837
"7","HOR1707",35.91,71.52,0.0725473885487033,0.0363323394296241,0.028655338573738,0.0234113254183557,0.0162067197240504,0.0142612818047633,0.0130948292748188,0.0124359612053523,0.0124666215985466,0.0129597765583943,0.00956870398997303,0.0107996963576452,0.0101070462477045,0.0110218139348421,0.0243132274374137
"8","HOR8658",31.19,29.9,0.0414941379599171,0.019650086385626,0.019897564415342,0.0187263621654523,0.0174321488790094,0.0182913536420312,0.0173145717110053,0.00990214136506195,0.0112422370961118,0.00970116531820911,0.00357347431776017,0.00734223626688339,0.00683413709928224,0.00456766503129314,0.00202168735542598
"9","HOR9919",45.43,6.31,0.0333777335023278,0.0154399486405716,0.0306375076332644,0.0260108883570507,0.0259909736603752,0.0137585945971325,0.0165862149984,0.00836600949701007,0.0162349950150056,0.0127838780460563,0.0106168070462727,0.0106932698798131,0.00793666426318291,0.00805679204859451,0.00556721606875871
"10","HOR354",47.98,9.12,0.0474478147473928,0.0310796040286535,0.0332261004683769,0.0332858930018371,0.03471236490456,0.0346654886295161,0.00754071935969314,0.0365931731794523,0.042583686195486,0.00291256844214816,0.00613624351857211,0.00606212016344383,0.00909995916836324,0.00328800859269625,0.00462380775202346
"11","HOR10610",36.44,43.26,0.0806067599608223,0.0407066269506936,0.0397107498833453,0.0357444982956217,0.0290862316916154,0.0252540098386321,0.0259344903827642,0.0291607818298911,0.0260992975037215,0.0349796034805395,0.022580756490922,0.0290180371967184,0.018554784873084,0.0175808967264397,0.0156469091340419
"12","HOR9607",42.3,43.35,0.045875503297378,0.0188254600804496,0.016710068579759,0.0195733157236829,0.0155431914929299,0.0157811623164739,0.0191386647139849,0.0161713785562269,0.0165318986485784,0.0164170378297775,0.015252386363053,0.0179416364806758,0.0133790962212523,0.0117850151676453,0.0077228734633589
"13","HOR10761",5.63,38.23,0.0454431246173183,0.018972850190996,0.0249338553163945,0.0218247502862686,0.0326575481576757,0.0295366421628918,0.0191863583782096,0.0168795484156608,0.0299888091119515,0.0220297937352311,0.0248947689220417,0.0256494200489699,0.00255716418800285,0.00660609224663359,0.0164800354459745
"14","HOR937",39.07,21.82,0.0306628524496842,0.012629345766508,0.020117322556349,0.0196777123779062,0.0140535845508743,0.0169491854264191,0.0286530546788102,0.0336468279618709,0.0237325829835836,0.00737241384856492,0.0348359720563945,0.016279985222943,0.00567879432515776,0.0316513151355597,0.0120844920780351
"15","HOR2785",35.6,51.87,0.0768817960560074,0.031948208346871,0.032123234764944,0.0301926399183994,0.0221205637152393,0.0181217702073917,0.0173922416116228,0.0245527685361988,0.0170754596720898,0.0188775032743302,0.00490050841698804,0.0186438170543901,0.00709498793845556,0.00536374833369324,0.00858623634259812
"16","HOR2792",30.52,50.85,0.0710960602547315,0.031669979584714,0.0272052498278523,0.0235031422495562,0.0188038483258902,0.0212674378757391,0.0290562731534531,0.0312556017076422,0.0389468294145858,0.0296419110510897,0.0160522381839792,0.0132294161359301,0.0161270779028836,0.0242255842579688,0.0248196220143224
"17","HOR2808",33.57,50.85,0.0814273322377599,0.0378678678050424,0.0362866984756323,0.0322078253296893,0.0258778049032249,0.0249841518827953,0.0281151145162853,0.0325441425489875,0.0380365172295437,0.0460864308124983,0.0168654314504537,0.0292317454822442,0.0119479319391899,0.0122000871095969,0.011065949065294
"18","HOR2867",37.63,58.98,0.0780257452007522,0.0317220031307678,0.030695434796207,0.0302988175238675,0.0254741896078022,0.020829886517365,0.0173098913602399,0.0107048342747647,0.020650290163871,0.0257922571661341,0.0104646204968991,0.0211859097044536,0.00811704854224996,0.00610527971149498,0.00702114492952146
"19","HOR9827",32.77,13.98,0.0310081176495226,0.0271528844333795,0.018432964179104,0.0183522605558759,0.0267929562095152,0.0155567103896751,0.0155785124172248,0.0274498094184864,0.00615442725697922,0.0159585054796267,0.0104119451156473,0.0117964594577637,0.0281582035227072,0.0105674565118095,0.00661740152641659
"20","HOR8455",30.5,47.82,0.080173010661383,0.0312201793633223,0.0275981967147648,0.0206490049747092,0.0162949975863798,0.0238771373103224,0.0407028638181626,0.0237489865103624,0.0776142350198061,0.0293635212202222,0.0366171584282149,0.0552964618998184,0.0366461014669181,0.0411777901785258,0.0359429680224205
"21","HOR10609",36.17,43.26,0.0806067599608223,0.0407066269506936,0.0397107498833453,0.0357444982956217,0.0290862316916154,0.0252540098386321,0.0259344903827642,0.0291607818298911,0.0260992975037215,0.0349796034805395,0.022580756490922,0.0290180371967184,0.018554784873084,0.0175808967264397,0.0156469091340419
"22","HOR10782",41.9,13.88,0.0250694090227606,0.0180937069720849,0.017167372197519,0.0194996445485302,0.0187402344054966,0.0171610644191224,0.0134317161316952,0.0145469429855753,0.00997677362713734,0.0114742472712637,0.0172612266989669,0.0201948024804133,0.0169527698161039,0.0219162797050261,0.00541596664179091
"23","HOR1758",35,71.15,0.0714910944902106,0.0261957775515585,0.0228393079150936,0.0234192483530513,0.0191206714674903,0.0149752026296655,0.0120362019055201,0.0112593632320482,0.00808621206414123,0.00842056285015446,0.00844897846991673,0.00783441236432822,0.0075402121750417,0.00596576400195765,0.00842506625770768
"24","HOR4150",36.7,3.22,0.0391927875531127,0.0241416010057043,0.029028491296259,0.0235306996772645,0.0225393761930133,0.0175029894751448,0.0173858242906909,0.0139679421414039,0.0220632320432146,0.014230836153676,0.0235174847908473,0.0164363745127347,0.00788637907972442,0.00992404536840893,0.0143292443494947
"25","HOR2854",38.65,46.78,0.0491665233571989,0.0195194320923956,0.0223801957316475,0.0200921803856537,0.0176531165429982,0.0169716976067309,0.0166077955880341,0.0152064512333966,0.0109466683568932,0.0127899349062754,0.00810404847949906,0.0229672478059719,0.00394944052216843,0.00746022968919051,0.00605965720965234
"26","HOR752",39.07,21.82,0.0306628524496842,0.012629345766508,0.020117322556349,0.0196777123779062,0.0140535845508743,0.0169491854264191,0.0286530546788102,0.0336468279618709,0.0237325829835836,0.00737241384856492,0.0348359720563945,0.016279985222943,0.00567879432515776,0.0316513151355597,0.0120844920780351
"27","HOR3959",47.27,12.64,0.0444375975037767,0.031524426419068,0.0333364950328778,0.0332720218997097,0.0343767287144311,0.0354102732279335,0.026733514520665,0.0272172145630616,0.00900721628534499,0.00759277208637024,0.00608974590777753,0.0121843470945573,0.00933799192976521,0.00229183288130065,0.00274962108972837
