"","Accession","Latitude","Longitude","offset_1","offset_2","offset_3","offset_4","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19","offset_20","offset_21"
"1","IS10068",10.6333,-4.76666,0.00380160190699843,0.00275349790635768,0.0125116256203619,0.00289888842388004,0.0178524869467949,0.0114761326447083,0.00266033430523229,0.00261059355711988,0.0146346149579803,0.00708393417780317,0.00167348158880197,0.00397059316071478,0.0185943513168903,0.00415419175828051,0.00239240105281171,0.0114682523114003,0.0133816891512676,0.00247366553799966,0.0122952918402128,0.00399173312008879,0.0116507182600974
"2","IS10189",11.19999981,-4.300000191,0.00380160190699843,0.00275349790635768,0.0125116256203619,0.00289888842388004,0.0178524869467949,0.0114761326447083,0.00266033430523229,0.00261059355711988,0.0146346149579803,0.00708393417780317,0.00167348158880197,0.00397059316071478,0.0185943513168903,0.00415419175828051,0.00239240105281171,0.0114682523114003,0.0133816891512676,0.00247366553799966,0.0122952918402128,0.00399173312008879,0.0116507182600974
"3","IS10191",12.01000023,-0.100000001,0.00650467704222577,0.0147061000403612,0.00803751189911616,0.00242251667559048,0.008899882546078,0.00715261751717586,0.00653129562908041,0.00900376277601026,0.0107525213964611,0.00191504184314147,0.0134028781221899,0.0055005955913037,0.00917151098117025,0.00267696701089546,0.0143993215947481,0.00655129997506213,0.00379249093804345,0.00295004741865405,0.0117816744341907,0.00193921013736159,0.00944708980025593
"4","IS1036",18.64999962,72.87000275,0.0069775884675779,0.00190529345672274,0.00384052023374186,0.00208770540187907,0.0019276732977494,0.00416533473457865,0.00182498516283816,0.000728615587700333,0.00112711772514491,0.000696235823266853,0.000730429957949738,0.00122384697315666,0.00205813774428461,0.00163028210795609,0.00586985173662446,0.00174268132303768,0.000392466121143109,0.00320114704417209,0.00423086275413721,0.00081141544016702,0.00179376169211778
"5","IS10876",9.75,8.380000114,0.00079016039448538,0.00274814910068529,0.00104140971335548,0.00454452432945745,0.00677208935636728,0.000821196838404352,0.000968585216639748,0.00114305411323954,0.000625128324126561,0.00214721920891872,0.00172050376464841,0.000942329025859539,0.00271163382121651,0.00191424277569055,0.000922546055254382,0.0115389704685076,0.0112584909861866,0.000846411070932192,0.00069946369302818,0.00274802403777898,0.00184326565825219
"6","IS10882",9.75,8.380000114,0.00079016039448538,0.00274814910068529,0.00104140971335548,0.00454452432945745,0.00677208935636728,0.000821196838404352,0.000968585216639748,0.00114305411323954,0.000625128324126561,0.00214721920891872,0.00172050376464841,0.000942329025859539,0.00271163382121651,0.00191424277569055,0.000922546055254382,0.0115389704685076,0.0112584909861866,0.000846411070932192,0.00069946369302818,0.00274802403777898,0.00184326565825219
"7","IS1106",12.97000027,77.58000183,0.0150483523452195,0.00311602320027686,0.00428151621767903,0.0040220529950347,0.0124984748249103,0.00339141579231919,0.00257382554898851,0.0051633408795056,0.00663837142275015,0.00279874304223507,0.00414651862030088,0.00229514566727033,0.00364966189809252,0.0023810431025554,0.00303845415045622,0.00317935181076195,0.00387405308741442,0.00323094176715398,0.00376563330591912,0.00253355488117139,0.00308257501540408
"8","IS1107",22.42000008,75.54000092,0.00283867647616966,0.00270765071676874,0.013330203223692,0.00164135335125853,0.00153318968549942,0.00316852177483093,0.00233734044436595,0.00134738826793332,0.00226915615660216,0.00260769656425935,0.0023302817316835,0.00476009766803946,0.00267151923621674,0.00254425590405783,0.00313665280224741,0.00222870381467365,0.00328006023400008,0.00273603560476092,0.00315654962221599,0.0017584916035283,0.00276843404590666
"9","IS11424",4.880000114,38.08000183,0.026754402926507,0.00686578450917657,0.0134395721450096,0.0166877243979185,0.0204496110657578,0.0253087559656733,0.0280723544764112,0.0168912535618748,0.0136076837224619,0.0219109712317728,0.00928503346899718,0.00754016418122732,0.0157735543883073,0.0395885219099481,0.0146885280853261,0.0426238042007153,0.00471968694120054,0.023162888045963,0.0223162284574335,0.00641797313997483,0.00242494032479393
"10","IS11431",6.179999828,35.56000137,0.0133473022359848,0.011295121011157,0.0140837991728185,0.00936564024040477,0.0103212575649569,0.00690387079945909,0.0214953196735349,0.00941007808030659,0.00966292485328489,0.00607250314420275,0.0109768623060142,0.00914257266234062,0.0115223485697322,0.0196606287055491,0.00797398217214257,0.00610366422746778,0.00296999982212032,0.0202207744396373,0.0197569174592596,0.0244202797132631,0.00934990067724367
