"","Accession","Latitude","Longitude","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19","offset_20","offset_21"
"1","IRGC_10430",23.6,120.653889,0.0490813979132373,0.0895991235185304,0.13329830141265,0.133657402078461,0.140453487231193,0.114472945397121,0.0871872143970812,0.0503597678787935,0.0282044875700337,0.0142699609593572,0.0184695628233959,0.0111360985151992,0.00760513249888588,0.0085084942979455,0.0147518481914968,0.00822080883866577,0.0116931225165908
"2","IRGC_117279",23.6,120.653889,0.0490813979132373,0.0895991235185304,0.13329830141265,0.133657402078461,0.140453487231193,0.114472945397121,0.0871872143970812,0.0503597678787935,0.0282044875700337,0.0142699609593572,0.0184695628233959,0.0111360985151992,0.00760513249888588,0.0085084942979455,0.0147518481914968,0.00822080883866577,0.0116931225165908
"3","IRGC_12731",34.783889,134.375278,0.0913966762002569,0.15162460375047,0.221313785414677,0.296767609794486,0.296987268161854,0.224579020318124,0.198407660358309,0.128024709234765,0.093862924825176,0.0617976179811294,0.0355232442399572,0.014366621391854,0.0296872663076142,0.00860609650863342,0.0177336562170959,0.0168265407460903,0.00717208931327648
"4","IRGC_14413",-4.69,119.630278,0.0298918507307446,0.026008063950802,0.0440569534609389,0.0698217458360657,0.102172330478757,0.0459232348537642,0.102235180008603,0.0919461890072011,0.00515838220964856,0.0034840034859458,0.00368107453940253,0.00381218558774349,0.00617882136712029,0.00385583210579876,0.00470297212065207,0.00726777450736583,0.00346070975487357
"5","IRGC_14779",34.783889,134.375278,0.0916027368135952,0.151559313262444,0.221278450428695,0.296729101957925,0.296928609785106,0.224550953942649,0.198367125438447,0.12795333225554,0.0937662070129317,0.061881066693789,0.0358573461619618,0.0145425673139766,0.029985335152724,0.00945275149590476,0.0189609238532295,0.0202031041933719,0.0080202826764862
"6","IRGC_23364",14.065,121.180833,0.033459478650395,0.0425759914211157,0.0515110571936741,0.133661160091088,0.0680254467309011,0.0342412482003664,0.0350156887543822,0.0198816599800372,0.00311785505344559,0.00621617337393283,0.00973990859425126,0.00681780965960553,0.017387964420139,0.0151147927226338,0.00596000446629185,0.016817417962969,0.00723467225551552
"7","IRGC_25897",24.25,90,0.114259525307577,0.110341165239039,0.134425704661922,0.145153095668143,0.0725038333485205,0.0420457252785925,0.044553883587097,0.050854560757198,0.0459516013432207,0.0498782960707226,0.030469203433148,0.0338247462834839,0.0101519439323207,0.0297816817282682,0.00833400034716704,0.0194730361460707,0.02101898659177
"8","IRGC_27129",-2.690556,119.025833,0.0236717759644019,0.0347137207434699,0.0686400064936491,0.0647103423889611,0.0515194133587728,0.0429173734407647,0.054749199294682,0.0296070224584185,0.0220094016380063,0.0207257690763186,0.0095961013403686,0.00207259256450992,0.00450800080965541,0.00296675139952162,0.0158037024982224,0.00737208400474583,0.0207374168416397
"9","IRGC_328",9.446111,118.392778,0.0346357599689004,0.0355144448107563,0.0469508951141219,0.0379526647901887,0.0390409017460945,0.0431784411543623,0.0273012383262723,0.0213286305002154,0.0164828348055016,0.013054754326046,0.00713900354561569,0.0157067146047572,0.0114115165124459,0.0162420327647007,0.00996643932385945,0.0167844339234306,0.00699825080739702
"10","IRGC_33130",18.683611,96.683056,0.0262064560859777,0.0781395304802303,0.132145260073836,0.14616487215838,0.0952153632573856,0.0461865424277151,0.0324019557261787,0.0334548436239928,0.0125503982814852,0.00734896048428132,0.0126058640587642,0.014707473045899,0.012342899100551,0.012924424506012,0.0138596022095434,0.0207974862936491,0.0124400702239173
