"","Accession","Latitude","Longitude","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19"
"1","IS10068",10.6333,-4.76666,0.0267788048146884,0.00654923745204196,0.0036624650640987,0.0212200271257435,0.00786371744368558,0.022801705099196,0.00510142968661748,0.0057909286366204,0.00660653964919621,0.00453586527440577,0.00184168466485417,0.0105653342614158,0.00132994637483488,0.00729229033551477,0.00243203399630684
"2","IS10189",11.19999981,-4.300000191,0.0267788048146884,0.00654923745204196,0.0036624650640987,0.0212200271257435,0.00786371744368558,0.022801705099196,0.00510142968661748,0.0057909286366204,0.00660653964919621,0.00453586527440577,0.00184168466485417,0.0105653342614158,0.00132994637483488,0.00729229033551477,0.00243203399630684
"3","IS10191",12.01000023,-0.100000001,0.0105483732331952,0.0169063307475625,0.016767611772491,0.0177407643901375,0.0150549323644514,0.0152671547372413,0.0160329176672865,0.0203461504191889,0.0155065663919749,0.0139859800895837,0.00682586469464391,0.0155719838262493,0.00396921786064522,0.0139242239435855,0.0142184479733955
"4","IS1036",18.64999962,72.87000275,0.0277564413926938,0.0253713127738977,0.0170982781307322,0.0257263562143341,0.0264246348766296,0.0143907765895688,0.00376933436217876,0.0277605078885428,0.00193896903752426,0.00177319865879539,0.00146110988036616,0.00236941287473425,0.00117787139542829,0.00257815060937904,0.00219469614129828
"5","IS10876",9.75,8.380000114,0.00260943565060511,0.00490783395797773,0.00593883217851777,0.0065142488766794,0.00601834445972848,0.00560881298371999,0.00474900185513227,0.00381262354166359,0.00114689964719706,0.00133475671734659,0.000853703496607064,0.000984372929875767,0.0116681419825841,0.00103351316327684,0.00166144356631303
"6","IS10882",9.75,8.380000114,0.00260943565060511,0.00490783395797773,0.00593883217851777,0.0065142488766794,0.00601834445972848,0.00560881298371999,0.00474900185513227,0.00381262354166359,0.00114689964719706,0.00133475671734659,0.000853703496607064,0.000984372929875767,0.0116681419825841,0.00103351316327684,0.00166144356631303
"7","IS1106",12.97000027,77.58000183,0.00365793213118135,0.00395950384253143,0.00458087515347239,0.0229442804712389,0.00413180953388613,0.0213374032980133,0.00318665347355188,0.0399947207111555,0.00344611498245499,0.00504634102837323,0.00392773743994568,0.00312675050154232,0.00249228614618202,0.00296862005822775,0.0141567704033977
"8","IS1107",22.42000008,75.54000092,0.0445616277393686,0.0529388867536587,0.0309164861632549,0.0373992756397796,0.0185303986178664,0.0214020191375853,0.00354190581227961,0.0343037276824176,0.00174101829890126,0.00305259122821854,0.00152424891443689,0.0034769560810862,0.00180626975112402,0.00324862193809061,0.00214276077828721
"9","IS11424",4.880000114,38.08000183,0.02535996738242,0.0290350334434998,0.0224892270164051,0.00969970482318225,0.0182183534835333,0.0270875910598132,0.0370684122264208,0.0338201125534904,0.0290172065778895,0.00580732651787047,0.0132243806546835,0.012333043434493,0.00565623405091153,0.00763089925199908,0.0339529621603206
"10","IS11431",6.179999828,35.56000137,0.0316044427241408,0.0386153743310965,0.0191627079223368,0.0107271028203784,0.011589696516137,0.00984520626328281,0.0121604216431514,0.0119516809070379,0.0213657212515438,0.00564595988289724,0.0182241370514488,0.010253564018826,0.00942422506327916,0.00820504071029213,0.0096996964315453
