"","Accession","Latitude","Longitude","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19","offset_20","offset_21"
"966","SEEDGWAS2476",30.38333333,-107.9333333,0.101440675914811,0.121830765739598,0.0817048883260631,0.102874946725241,0.0729260281566845,0.0493354364533911,0.0276271425862421,0.0103748936256431,0.00690952128219822,0.00537827480696943,0.00545314140284904,0.0117090132595649,0.0031421740030918,0.00379581415497481,0.0102341195765823,0.00336815749535634,0.00532423946914736
"967","SEEDGWAS2479",19.290057,-100.441427,0.0157737843964117,0.0365087874992718,0.0393226620879676,0.0413515420572863,0.0464606090128204,0.0677146305912808,0.031871720002948,0.0177816809518518,0.0104464502240715,0.00507313011886096,0.00746486007485563,0.00886245704512719,0.00564593031740582,0.00447427545969053,0.00398582831928077,0.00253937851858078,0.00282711227230988
"968","SEEDGWAS2480",19.41666667,-102.4,0.0163493280552563,0.0471621018608103,0.0657724470039913,0.0559452048094811,0.0818318933257096,0.065831125233781,0.0289754150517856,0.0213197046465191,0.0124541333792221,0.00784569673091225,0.00400208376906092,0.00245869999792694,0.00317128912817452,0.00278508697834959,0.00626143258396199,0.00368194363563248,0.00275827630589865
"969","SEEDGWAS2481",19.71666667,-102.5166667,0.0163493280552563,0.0471621018608103,0.0657724470039913,0.0559452048094811,0.0818318933257096,0.065831125233781,0.0289754150517856,0.0213197046465191,0.0124541333792221,0.00784569673091225,0.00400208376906092,0.00245869999792694,0.00317128912817452,0.00278508697834959,0.00626143258396199,0.00368194363563248,0.00275827630589865
"970","SEEDGWAS2482",19.58333333,-102.4666667,0.0163493280552563,0.0471621018608103,0.0657724470039913,0.0559452048094811,0.0818318933257096,0.065831125233781,0.0289754150517856,0.0213197046465191,0.0124541333792221,0.00784569673091225,0.00400208376906092,0.00245869999792694,0.00317128912817452,0.00278508697834959,0.00626143258396199,0.00368194363563248,0.00275827630589865
"971","SEEDGWAS249",-21.533333,-51.483333,0.0179667428909116,0.0480599542738262,0.0455321860906223,0.0543569387415359,0.062464220222489,0.0495127025668439,0.0341416451746542,0.0133531770103979,0.0108300841280383,0.00798731096006105,0.00675893480446445,0.00707125583026652,0.00540357668855644,0.00387532082527821,0.00444048549929284,0.00585147965888115,0.00578986970189504
"972","SEEDGWAS2490",19.55706,-103.814756,0.00740461677129758,0.0180062726053033,0.0205886589674751,0.0237135500275617,0.0199286317230269,0.0148501982976835,0.00960949363688052,0.00627867684170854,0.00627923528692796,0.00541942804591006,0.0038593554297515,0.00150346482745531,0.00428151831665258,0.00183162294089681,0.00174037626846141,0.0013824632335664,0.00186116243177391
"973","SEEDGWAS2491",20.81666667,-102.7333333,0.0163493280552563,0.0471621018608103,0.0657724470039913,0.0559452048094811,0.0818318933257096,0.065831125233781,0.0289754150517856,0.0213197046465191,0.0124541333792221,0.00784569673091225,0.00400208376906092,0.00245869999792694,0.00317128912817452,0.00278508697834959,0.00626143258396199,0.00368194363563248,0.00275827630589865
"974","SEEDGWAS2494",-30.79075,-57.757907,0.0420626166079125,0.0458450994006716,0.0383068437099955,0.0569907492771896,0.0817788471806011,0.06730583324636,0.0635135173802413,0.0259439744122007,0.0179424398329528,0.0173034774469515,0.01761910130324,0.0200012737298509,0.0166867693255779,0.0116722446259429,0.0142528157486725,0.0131713592641826,0.0162617719173123
"975","SEEDGWAS2495",17.253353,-96.021444,0.00809250445192688,0.028775627457762,0.0265896130700489,0.0310603020843102,0.0235328629453701,0.0136970106579344,0.00787488590131497,0.00636307140416993,0.00434528757860014,0.00286000414987871,0.00282153457446296,0.0022247747832538,0.00245183927521183,0.0024714783338841,0.00271662472931567,0.00267461840304806,0.00225310454767541
"976","SEEDGWAS2496",17.253353,-96.021444,0.00809250445192688,0.028775627457762,0.0265896130700489,0.0310603020843102,0.0235328629453701,0.0136970106579344,0.00787488590131497,0.00636307140416993,0.00434528757860014,0.00286000414987871,0.00282153457446296,0.0022247747832538,0.00245183927521183,0.0024714783338841,0.00271662472931567,0.00267461840304806,0.00225310454767541
"977","SEEDGWAS2497",20.699376,-100.761898,0.0157737843964117,0.0365087874992718,0.0393226620879676,0.0413515420572863,0.0464606090128204,0.0677146305912808,0.031871720002948,0.0177816809518518,0.0104464502240715,0.00507313011886096,0.00746486007485563,0.00886245704512719,0.00564593031740582,0.00447427545969053,0.00398582831928077,0.00253937851858078,0.00282711227230988
"978","SEEDGWAS2498",19.966667,-103.25,0.0163493280552563,0.0471621018608103,0.0657724470039913,0.0559452048094811,0.0818318933257096,0.065831125233781,0.0289754150517856,0.0213197046465191,0.0124541333792221,0.00784569673091225,0.00400208376906092,0.00245869999792694,0.00317128912817452,0.00278508697834959,0.00626143258396199,0.00368194363563248,0.00275827630589865
"979","SEEDGWAS2499",20.63333333,-101.6666667,0.0163493280552563,0.0471621018608103,0.0657724470039913,0.0559452048094811,0.0818318933257096,0.065831125233781,0.0289754150517856,0.0213197046465191,0.0124541333792221,0.00784569673091225,0.00400208376906092,0.00245869999792694,0.00317128912817452,0.00278508697834959,0.00626143258396199,0.00368194363563248,0.00275827630589865
"980","SEEDGWAS250",-20.66666667,-50.03333333,0.0216098100240601,0.0372955944881285,0.058243051651066,0.0556020422251964,0.0598282029961805,0.0482065135496477,0.0315464536954059,0.0195983423316446,0.00754440098139308,0.00664756868055257,0.00463759074677235,0.00231792057674989,0.00551162613140804,0.00355412687029904,0.00546027138213594,0.00435976532738122,0.00412732835354827
"981","SEEDGWAS2501",21.942148,-102.194513,0.0180574374356693,0.035737420929421,0.0405349892130601,0.0394710300647982,0.0520892656434522,0.0675259878188298,0.0234257053515565,0.0205269252492491,0.01162624122474,0.00722490292420873,0.0039051211672264,0.00459731654125682,0.00422519172702293,0.00334306420708775,0.00400156380851188,0.00438705763120128,0.00178936649219842
"982","SEEDGWAS2502",20.784944,-98.734909,0.0124189883967509,0.0442044148037802,0.0483844962769971,0.0633702852517831,0.0456244069682055,0.0237944652265184,0.011842015154343,0.00439839314605656,0.00430868056227389,0.00129181705131937,0.00169148977911592,0.0031333774752841,0.00212355025779047,0.00110259335980726,0.00117631982098497,0.00179216698235166,0.00198086939898365
