"","Accession","Latitude","Longitude","offset_1","offset_2","offset_3","offset_4","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19","offset_20","offset_21"
"1","FT218",31.77,35.11,0.0467269856640722,0.00465570208210757,0.0139283286614457,0.00397268738197608,0.00779976174247197,0.00850842869834551,0.00327265730472725,0.0048651234651523,0.01179101493455,0.00988642387162402,0.0075765218620438,0.00418924405367099,0.0103539626347684,0.00773410653161866,0.00248864317911918,0.00813053941603279,0.00800902034269331,0.00432976314504818,0.00962281250366213,0.00254240119240703,0.006281468672077
"2","FT462",37.78,39.78,0.0728566215253823,0.0109864025056943,0.00936852223490287,0.0161879943301571,0.0173131742037707,0.0226381919556079,0.040168357987665,0.0140232580589195,0.0214187598503716,0.0231962565492636,0.040081351770709,0.0190951785095669,0.0225329294029909,0.0194161092887501,0.00777507489818472,0.0295519474966193,0.00856138417428908,0.0115693004093167,0.00844124045548581,0.0164969934803177,0.0212775201527686
"3","FT473",37.66,37.79,0.0679229207663122,0.0111632348283692,0.0143785749750222,0.0169227413411289,0.0188310018003257,0.0216478174678646,0.0229970745453974,0.0111144126720945,0.0250877849413001,0.0295615586139529,0.0132732379485312,0.0206285999678612,0.0274763873645918,0.0145216539963621,0.00860916454509698,0.0276424707463909,0.00465212770076376,0.0194068057459425,0.018200500495732,0.0142974355480685,0.0199335781696875
"4","FT730",37.33,37.27,0.0679229207663122,0.0111632348283692,0.0143785749750222,0.0169227413411289,0.0188310018003257,0.0216478174678646,0.0229970745453974,0.0111144126720945,0.0250877849413001,0.0295615586139529,0.0132732379485312,0.0206285999678612,0.0274763873645918,0.0145216539963621,0.00860916454509698,0.0276424707463909,0.00465212770076376,0.0194068057459425,0.018200500495732,0.0142974355480685,0.0199335781696875
"5","HOR4724",40.18,44.52,0.0569176762536985,0.00875420744399145,0.00739172171909967,0.00500787238111806,0.0118425908768496,0.00589048757847486,0.0082349178075338,0.00974406216962737,0.0147530880631389,0.011281748130601,0.00435501412695899,0.013435527091981,0.00836430049304304,0.00698309971734244,0.00554045249287859,0.0100750832322945,0.00688755922997929,0.00717928532330776,0.0082130738365059,0.00712089397096606,0.00384927556349281
"6","HOR3950",47.01,13.17,0.0436775219358166,0.00328735867857647,0.00357929495901271,0.00595775857157074,0.00214989013190217,0.00411721937806301,0.00733686271295817,0.00260799211335333,0.0021478212623966,0.00957922629125927,0.0151490046142015,0.00356135364049501,0.00473094841707661,0.00307444116453739,0.00265353492142611,0.00509768967074415,0.00491280907759202,0.00944183833645059,0.00556761985931867,0.00492366715943672,0.0045526863047243
"7","HOR1707",35.91,71.52,0.0544857925681704,0.0261471263380621,0.0102017734743189,0.00870163564709639,0.00912636413223953,0.0106407525501693,0.00889240412669893,0.0133383161960594,0.0116262822477389,0.00880874954513712,0.0113599081651494,0.0100622410420516,0.00948141382872855,0.00757496488167803,0.0256897784150612,0.010907557687746,0.00964069582319955,0.0142469095582275,0.0119003768099182,0.008195683098243,0.010338018474671
"8","HOR8658",31.19,29.9,0.0332600137182314,0.00651903146816508,0.00438427502916832,0.002294229740476,0.00426733405008906,0.00342663071392407,0.00272562603333153,0.00301864883646211,0.00157308532046969,0.0064616704904921,0.00403446762703151,0.00361946415957877,0.00370720165404797,0.00441362594244712,0.00380301245785956,0.00559615520616338,0.00505235126479229,0.00405411821942257,0.00494792911403624,0.0038928746790529,0.00224623929725139
"9","HOR9919",45.43,6.31,0.0330415731180838,0.00616417795562567,0.00582365272596026,0.0087407650051436,0.00782874909521908,0.00672631090078066,0.00877334827029118,0.00545336234048672,0.010097088362914,0.00570942718382192,0.0176184015725419,0.0061501521805367,0.00824839912135697,0.00655514136197082,0.0196540977654866,0.00910455797099384,0.0103720049962957,0.010939595218835,0.0401673854445274,0.0119241543233517,0.00871030652096067
"10","HOR354",47.98,9.12,0.0475507132579485,0.0026748411733246,0.00308261897886401,0.00527175037793222,0.00235989073456277,0.00360142988949556,0.00366030452383347,0.00264095472864647,0.0032972656358225,0.00232612939097603,0.0040633837050957,0.00299018610119478,0.00384955271447638,0.00631974032177817,0.00346672487481437,0.00582893767082431,0.00422110480675893,0.00893144315392841,0.00487497576107553,0.00551511007078176,0.00382259974646853
