"","Accession","Latitude","Longitude","offset_1","offset_2","offset_3","offset_4","offset_5","offset_6","offset_7","offset_8","offset_9","offset_10","offset_11","offset_12","offset_13","offset_14","offset_15","offset_16","offset_17","offset_18","offset_19","offset_20","offset_21"
"1","IRGC_117276",35.859167,127.335556,0.011394010450044,0.016492251858781,0.00506952625321141,0.00453941830130096,0.00393080771868992,0.0113618636368129,0.0151166697002471,0.0163229689379943,0.0137858703400024,0.0186246765331283,0.010055816532451,0.0121019472877721,0.0138010945173195,0.0116784971368956,0.0109413324716063,0.0206016601094615,0.0111290569729142,0.0113373085105908,0.0111377953500182,0.0139854901755986,0.0106449359643757
"2","IRGC_121705",13.111389,121.047222,0.0115503997311215,0.0100275182636723,0.0264156993430689,0.00740303242844801,0.0195910305422039,0.00414124317424486,0.00234539712859636,0.00821400408617938,0.00490630745450726,0.0134066115010081,0.010165237071737,0.0108484248580175,0.00720814208271343,0.0109094451735028,0.00684459964751652,0.0113482803416038,0.00776341393412215,0.00737878903990909,0.0168276806381956,0.00886062424649526,0.00895947826086257
"3","IRGC_122298",-4.8133889,104.7520944,0.00658364166749988,0.000963864835000597,0.004437571895218,0.00431208195568642,0.00232911792511694,0.00428148158536323,0.00720495840176711,0.00255182476504495,0.00551032738672414,0.000885366082407712,0.00100917688167643,0.0026088695095838,0.00096685776764283,0.0046885571466319,0.00772626296291266,0.00190420260713696,0.00113197498827661,0.00223129304298463,0.00308241553145628,0.00128050210322376,0.00300112673362675
"4","IRGC_16800",16.472778,106.660556,0.0120601944005475,0.0216138899459431,0.0131819989613992,0.00646127880457147,0.0223922203905631,0.0159028148142048,0.0041420003953268,0.00792287052058681,0.00869729437824537,0.0111308083596364,0.00469583564137867,0.00860712008129008,0.0154790390914318,0.00479246103286131,0.00470194575319206,0.0113704796309172,0.00620733911567193,0.00739856723541203,0.014371336880454,0.0243595168835383,0.00718533956006646
"5","IRGC_16872",16.472778,106.660556,0.0120601944005475,0.0216138899459431,0.0131819989613992,0.00646127880457147,0.0223922203905631,0.0159028148142048,0.0041420003953268,0.00792287052058681,0.00869729437824537,0.0111308083596364,0.00469583564137867,0.00860712008129008,0.0154790390914318,0.00479246103286131,0.00470194575319206,0.0113704796309172,0.00620733911567193,0.00739856723541203,0.014371336880454,0.0243595168835383,0.00718533956006646
"6","IRGC_24224",13.039444,101.491944,0.00359922152283344,0.00646769400726319,0.00621664111492753,0.00392178359277487,0.00536908141080568,0.00310070178768616,0.00600838990033228,0.00558164614919626,0.00332294176331084,0.00503583313559859,0.00725905861646436,0.00263483605984235,0.00882977615492929,0.0168374946291176,0.00435174784115304,0.0044738076236071,0.00554938817422466,0.00622431990684831,0.0110331642410407,0.00493906180472992,0.00343249237802223
"7","IRGC_27716",18.78333,99,0.0100286689134975,0.0177683361055153,0.0100561609029675,0.00957527142449286,0.0110362869407863,0.0138225178831474,0.0103852521445873,0.00496770472292125,0.00477536424934185,0.0111034674149406,0.00890492781582943,0.00918262951301128,0.0154945401774574,0.00445865256231002,0.00913447003961444,0.0192042951871149,0.00902684280101818,0.0153166604059375,0.0218132923198419,0.00648468549258347,0.0142542075378925
"8","IRGC_27748",13.533056,100.958056,0.00902846048316119,0.00762816117112832,0.0093796692711444,0.00669136486206424,0.00922112982511248,0.0206816204757121,0.0159577189920898,0.0210165212010092,0.00603525442361235,0.0101571882707307,0.00716273954458938,0.00738446511839206,0.00978507049415769,0.0106272984822728,0.007371683977492,0.0113169504684764,0.0087245822272276,0.00685297996478454,0.0167456869384719,0.00632799100340992,0.00732514489550333
"9","IRGC_27762",13.039444,101.491944,0.00357777325343764,0.00640062165907588,0.00622274146667239,0.00389674081973908,0.00527553705055261,0.0031472394377163,0.00602725886182595,0.00552356997596629,0.00325733115184744,0.00496258816080363,0.00720204273305207,0.00254580341988557,0.00807123721223269,0.0149029827614346,0.00427027348608222,0.00445563084981288,0.00547865135326688,0.00615669832660512,0.010977453025101,0.00486286811154733,0.0033469477191786
"10","IRGC_30238",13.039444,101.491944,0.00357777325343764,0.00640062165907588,0.00622274146667239,0.00389674081973908,0.00527553705055261,0.0031472394377163,0.00602725886182595,0.00552356997596629,0.00325733115184744,0.00496258816080363,0.00720204273305207,0.00254580341988557,0.00807123721223269,0.0149029827614346,0.00427027348608222,0.00445563084981288,0.00547865135326688,0.00615669832660512,0.010977453025101,0.00486286811154733,0.0033469477191786
"11","IRGC_31",2.030278,109.6425,0.00758373586010127,0.0129985478797196,0.00653607516872409,0.00433354128884078,0.00239432342342034,0.00554395085157025,0.00406895712417786,0.00372130986619867,0.0119821419416778,0.00427597408091714,0.00612937184931439,0.00220443382659063,0.00347101063983626,0.00420996757181536,0.00454215475019465,0.00843197056889936,0.00331375861448442,0.00329902755884582,0.0226593252173625,0.00354775759786086,0.00426880032193357
"12","IRGC_40673",16.443889,100.347778,0.0121174067058594,0.0104987406857041,0.013521451951885,0.0112183114751913,0.0119813686814725,0.0150491631271178,0.0295246870010114,0.0191754084426644,0.00930567650937761,0.0127939862891885,0.00463840701825543,0.0119507590985835,0.0113082414892289,0.014242558650069,0.0103478449552283,0.00720453605109178,0.0104350033304136,0.00443509102835633,0.0122271001158747,0.0107348134685698,0.0123729849814191
"13","IRGC_43322",-3.294722,104.141944,0.00809662097727598,0.0028199758138157,0.0028197440267132,0.00647093723877648,0.00370369627385793,0.00266073691544121,0.00352449782896453,0.00110942213022467,0.00113543658093863,0.00246202378543526,0.00367279313171032,0.00102564987896925,0.00106415240466053,0.00249469225364761,0.0089199598435076,0.00154103592783901,0.00305051283260162,0.00885678870237509,0.00438669962549719,0.00202647145293684,0.0029918664610704
"14","IRGC_43369",-3.294722,104.141944,0.00809662097727598,0.0028199758138157,0.0028197440267132,0.00647093723877648,0.00370369627385793,0.00266073691544121,0.00352449782896453,0.00110942213022467,0.00113543658093863,0.00246202378543526,0.00367279313171032,0.00102564987896925,0.00106415240466053,0.00249469225364761,0.0089199598435076,0.00154103592783901,0.00305051283260162,0.00885678870237509,0.00438669962549719,0.00202647145293684,0.0029918664610704
"15","IRGC_43400",-1.223333,100.447778,0.0110755234824388,0.0060544459212255,0.00179587861049467,0.00387033709145722,0.00187530317844329,0.00467681394548966,0.00350055220945683,0.00353797597326902,0.000789366390824788,0.0063933712040847,0.00392964171716515,0.00608052932742152,0.00297253847857615,0.00100409697940957,0.00282427413428376,0.00588798027686638,0.0037417485803713,0.00837618976554041,0.00899773918922301,0.00280012478359721,0.00363117124738083
"16","IRGC_43540",-1.223333,100.447778,0.0110755234824388,0.0060544459212255,0.00179587861049467,0.00387033709145722,0.00187530317844329,0.00467681394548966,0.00350055220945683,0.00353797597326902,0.000789366390824788,0.0063933712040847,0.00392964171716515,0.00608052932742152,0.00297253847857615,0.00100409697940957,0.00282427413428376,0.00588798027686638,0.0037417485803713,0.00837618976554041,0.00899773918922301,0.00280012478359721,0.00363117124738083
"17","IRGC_44513",12.862778,121.243056,0.0115503997311215,0.0100275182636723,0.0264156993430689,0.00740303242844801,0.0195910305422039,0.00414124317424486,0.00234539712859636,0.00821400408617938,0.00490630745450726,0.0134066115010081,0.010165237071737,0.0108484248580175,0.00720814208271343,0.0109094451735028,0.00684459964751652,0.0113482803416038,0.00776341393412215,0.00737878903990909,0.0168276806381956,0.00886062424649526,0.00895947826086257
"18","IRGC_44600",18.078611,120.514167,0.0162177493038167,0.0251384220336935,0.0108424750993147,0.0163275287122827,0.0130762549505185,0.0101917980426688,0.00206820525938974,0.0112600852094934,0.00964582906487552,0.00887337608546644,0.00945393331996225,0.0142057111015025,0.00540194646191701,0.010283380105201,0.0175149407267245,0.00622312200341047,0.00500269263403374,0.00919114983610095,0.0273534191163999,0.0072885572082958,0.0131886447892645
"19","IRGC_46202",21.127778,82.800556,0.0176239189118166,0.0263562638334754,0.0163708397895392,0.0163615360214948,0.0249909513709475,0.025495914119106,0.0261824925643356,0.0171086195251729,0.0217089192177522,0.0306698379846353,0.0155992730039295,0.0247157775765673,0.0303165600821327,0.00702450669923845,0.0257655262737575,0.0203351846063101,0.0261826844572516,0.0140924297990799,0.0310291462551402,0.0205102998690923,0.0259498251545577
"20","IRGC_47383",7.93333,81,0.00924175967346882,0.00238619221378587,0.0196644362527985,0.0125315344752362,0.00884935826853251,0.00811907817478426,0.00878624078968855,0.00428642797928025,0.0111323983443598,0.0105945743674041,0.0156443765095348,0.0156243438221007,0.010590553049633,0.00601293455486346,0.00887364726066271,0.0047295931113702,0.0121578436740671,0.00956279872725257,0.0119628539170839,0.00468566778980189,0.00292952041036414
"21","IRGC_51064",8.836111,80.478333,0.00924175967346882,0.00238619221378587,0.0196644362527985,0.0125315344752362,0.00884935826853251,0.00811907817478426,0.00878624078968855,0.00428642797928025,0.0111323983443598,0.0105945743674041,0.0156443765095348,0.0156243438221007,0.010590553049633,0.00601293455486346,0.00887364726066271,0.0047295931113702,0.0121578436740671,0.00956279872725257,0.0119628539170839,0.00468566778980189,0.00292952041036414
"22","IRGC_5423",13.11139,121.04722,0.0115503997311215,0.0100275182636723,0.0264156993430689,0.00740303242844801,0.0195910305422039,0.00414124317424486,0.00234539712859636,0.00821400408617938,0.00490630745450726,0.0134066115010081,0.010165237071737,0.0108484248580175,0.00720814208271343,0.0109094451735028,0.00684459964751652,0.0113482803416038,0.00776341393412215,0.00737878903990909,0.0168276806381956,0.00886062424649526,0.00895947826086257
"23","IRGC_56036",20.85,106.683056,0.0121789027234744,0.00855342123765881,0.0133472910823288,0.0111717230678862,0.0194908602749871,0.0132941145220134,0.0164219323949971,0.0188494425646121,0.0126618197284909,0.0127061689013994,0.0241934633325194,0.0148572563836266,0.0129375134221599,0.0131367209293178,0.0234176304909981,0.0144197824847738,0.00775043124197247,0.0140663674045986,0.00682905911321444,0.0104286854471758,0.0136612092532715
"24","IRGC_61953",28.390833,84.1225,0.0483111496742034,0.0169947203782304,0.0369585117622029,0.0204847713911233,0.00894809712800881,0.0576496009033048,0.0158316831718277,0.0232211478401155,0.0423498001317373,0.0162638971079385,0.0448514395808938,0.0594025017817374,0.0585932878932389,0.0139010670931833,0.0301209192649645,0.0160907341155749,0.0562729550157702,0.0188410623365279,0.0580018448228353,0.0300288185767043,0.0190166233586497
"25","IRGC_6208",23.611667,90.339722,0.0146519301136618,0.017628577083836,0.0153261483468869,0.00937925549942527,0.00544064457310914,0.0100725052222015,0.0073231032840883,0.0145256899329537,0.016842632463741,0.00585994988138673,0.0136521657029601,0.0184861565615897,0.00904322339194747,0.0209482369105225,0.00952128062863231,0.0156345935892539,0.0170484233589054,0.00568786395284111,0.0169782022975698,0.00444098401672743,0.00997282561366995
"26","IRGC_6274",21.127778,82.800556,0.0176239189118166,0.0263562638334754,0.0163708397895392,0.0163615360214948,0.0249909513709475,0.025495914119106,0.0261824925643356,0.0171086195251729,0.0217089192177522,0.0306698379846353,0.0155992730039295,0.0247157775765673,0.0303165600821327,0.00702450669923845,0.0257655262737575,0.0203351846063101,0.0261826844572516,0.0140924297990799,0.0310291462551402,0.0205102998690923,0.0259498251545577
"27","IRGC_63544",27.215556,120.497778,0.0115254101782512,0.00158082617464414,0.00432908292470001,0.00502803704486684,0.0142020351771677,0.0044762154607107,0.0235681040876119,0.0103444109306385,0.0105097982643275,0.00346035521284777,0.0167826821593959,0.00533336464977502,0.00382732142256407,0.00690127314810105,0.0174430104138405,0.0110627490461399,0.0144351474878907,0.00649182859495193,0.0137367646053933,0.00999343292799418,0.00271601439661863
"28","IRGC_63726",27.215556,120.497778,0.0115254101782512,0.00158082617464414,0.00432908292470001,0.00502803704486684,0.0142020351771677,0.0044762154607107,0.0235681040876119,0.0103444109306385,0.0105097982643275,0.00346035521284777,0.0167826821593959,0.00533336464977502,0.00382732142256407,0.00690127314810105,0.0174430104138405,0.0110627490461399,0.0144351474878907,0.00649182859495193,0.0137367646053933,0.00999343292799418,0.00271601439661863
"29","IRGC_6590",23.611667,90.339722,0.0146519301136618,0.017628577083836,0.0153261483468869,0.00937925549942527,0.00544064457310914,0.0100725052222015,0.0073231032840883,0.0145256899329537,0.016842632463741,0.00585994988138673,0.0136521657029601,0.0184861565615897,0.00904322339194747,0.0209482369105225,0.00952128062863231,0.0156345935892539,0.0170484233589054,0.00568786395284111,0.0169782022975698,0.00444098401672743,0.00997282561366995
"30","IRGC_66640",0.88333,97.56667,0.00547929481153975,0.00631854041178388,0.0020826567425749,0.00115366169904145,0.00169880595112593,0.0137363090890365,0.00422656434115863,0.00170920145020089,0.00278151578324705,0.00365303580244774,0.00317223197206998,0.00320045342310068,0.0012360849003616,0.00186457591589524,0.00208884204845779,0.00169655650777142,0.0152580900318852,0.00369506127170405,0.00469065974815625,0.00302817277069119,0.00163406255629643
"31","IRGC_67034",23.748889,108.301667,0.00662266113025406,0.0107905502330784,0.0067487700722129,0.00385166739670827,0.0130061464445185,0.00345452050789941,0.0035290317094671,0.00252712888567812,0.00995939601692667,0.00445685860245748,0.00389257908751011,0.00813572159768205,0.00423724164322982,0.0019263674179327,0.00721733999515902,0.00296689554953309,0.00737963276944569,0.00385954743068525,0.0204366867083956,0.00248704962567728,0.00162047546014316
"32","IRGC_67096",23.748889,108.301667,0.00662266113025406,0.0107905502330784,0.0067487700722129,0.00385166739670827,0.0130061464445185,0.00345452050789941,0.0035290317094671,0.00252712888567812,0.00995939601692667,0.00445685860245748,0.00389257908751011,0.00813572159768205,0.00423724164322982,0.0019263674179327,0.00721733999515902,0.00296689554953309,0.00737963276944569,0.00385954743068525,0.0204366867083956,0.00248704962567728,0.00162047546014316
"33","IRGC_68159",27.576667,111.558333,0.0129681437329834,0.00995076573660681,0.0103559157691809,0.00895886519260099,0.0112515286998322,0.0086230754583627,0.0159715754755432,0.0104764702982688,0.00587924228159787,0.00966945818926568,0.0178657177845531,0.010945011589463,0.0159639035998502,0.0104690376385379,0.015247811904111,0.0193601655467342,0.0117260235507045,0.0135205461971541,0.0137414503436741,0.0150296727481141,0.0124898812498244
"34","IRGC_71494",5.63333,116.31667,0.00415665365453476,0.00571735551699013,0.00163281924492939,0.00544435890974523,0.00104717958410397,0.00443901229517136,0.0106374054218076,0.001778318958281,0.00265664718677642,0.00526983795236132,0.00173312317331917,0.00134492625241141,0.00083042899339284,0.00501310638294765,0.00270732033823064,0.0052399188267172,0.00236407656079723,0.00359014220272189,0.0034923476364885,0.0013002965777143,0.00151111014175958
"35","IRGC_71524",5.75,116.35,0.00206968887147394,0.0151840587053027,0.0102223454176054,0.00986403131171701,0.00744961718026238,0.0200496406228694,0.0105151981880088,0.00613047965709903,0.0135294746069239,0.00461202407414274,0.0106792290396376,0.0072954408521666,0.0106754649412408,0.00832836253751176,0.0060653710727478,0.005971195831752,0.00983269404814917,0.00948425717496382,0.012621690889553,0.00926859213695696,0.0129619334989411
"36","IRGC_72479",21.127778,82.800556,0.0159316949148955,0.0281984716456769,0.0181220725303226,0.0196381885605873,0.0271460894538841,0.0227065523396147,0.0275256509913779,0.0192796795739457,0.0227904532691413,0.0324228930482953,0.0144075890529738,0.0217517945592999,0.0231446089758664,0.00538302979265646,0.0228985855974299,0.0219104809000157,0.0280753026398788,0.0111849589292077,0.0289022112672794,0.0224763027996229,0.0276346782442422
"37","IRGC_77530",11.33333,78.5,0.00674757682466101,0.00522499558739558,0.0132872469148644,0.0123023540335792,0.0059070803559664,0.0149942867818664,0.0138109406902602,0.0086537138595348,0.00538188482889837,0.0103550647419549,0.00912031429547829,0.00679314413205183,0.01038264504114,0.0182159390330222,0.00989517282697695,0.0187558677165643,0.00995680789484359,0.0102491647696268,0.00974481448521836,0.00569707570384687,0.00706947165593958
"38","IRGC_78253",14.36667,100.53333,0.00902846048316119,0.00762816117112832,0.0093796692711444,0.00669136486206424,0.00922112982511248,0.0206816204757121,0.0159577189920898,0.0210165212010092,0.00603525442361235,0.0101571882707307,0.00716273954458938,0.00738446511839206,0.00978507049415769,0.0106272984822728,0.007371683977492,0.0113169504684764,0.0087245822272276,0.00685297996478454,0.0167456869384719,0.00632799100340992,0.00732514489550333
"39","IRGC_78257",12.86667,101.86667,0.00357777325343764,0.00640062165907588,0.00622274146667239,0.00389674081973908,0.00527553705055261,0.0031472394377163,0.00602725886182595,0.00552356997596629,0.00325733115184744,0.00496258816080363,0.00720204273305207,0.00254580341988557,0.00807123721223269,0.0149029827614346,0.00427027348608222,0.00445563084981288,0.00547865135326688,0.00615669832660512,0.010977453025101,0.00486286811154733,0.0033469477191786
"40","IRGC_78267",13.33333,100.96667,0.00902846048316119,0.00762816117112832,0.0093796692711444,0.00669136486206424,0.00922112982511248,0.0206816204757121,0.0159577189920898,0.0210165212010092,0.00603525442361235,0.0101571882707307,0.00716273954458938,0.00738446511839206,0.00978507049415769,0.0106272984822728,0.007371683977492,0.0113169504684764,0.0087245822272276,0.00685297996478454,0.0167456869384719,0.00632799100340992,0.00732514489550333
"41","IRGC_8227",16.472778,106.660556,0.0120601944005475,0.0216138899459431,0.0131819989613992,0.00646127880457147,0.0223922203905631,0.0159028148142048,0.0041420003953268,0.00792287052058681,0.00869729437824537,0.0111308083596364,0.00469583564137867,0.00860712008129008,0.0154790390914318,0.00479246103286131,0.00470194575319206,0.0113704796309172,0.00620733911567193,0.00739856723541203,0.014371336880454,0.0243595168835383,0.00718533956006646
"42","IRGC_8228",16.472778,106.660556,0.0119330999915675,0.0214787662137475,0.0130342551195731,0.00605791620140378,0.0226065528757435,0.0156365173016029,0.004186212287459,0.00741904936297698,0.00819080575809175,0.0107397050333741,0.00449233636616659,0.00808926748674579,0.0146010852965055,0.00470735947065075,0.00463079645636256,0.0112012814777622,0.00604802384605165,0.00723370007895038,0.0141147421866586,0.0245622644162443,0.00700407893872955
"43","IRGC_8231",16.472778,106.660556,0.0119330999915675,0.0214787662137475,0.0130342551195731,0.00605791620140378,0.0226065528757435,0.0156365173016029,0.004186212287459,0.00741904936297698,0.00819080575809175,0.0107397050333741,0.00449233636616659,0.00808926748674579,0.0146010852965055,0.00470735947065075,0.00463079645636256,0.0112012814777622,0.00604802384605165,0.00723370007895038,0.0141147421866586,0.0245622644162443,0.00700407893872955
"44","IRGC_8234",16.472778,106.660556,0.0119330999915675,0.0214787662137475,0.0130342551195731,0.00605791620140378,0.0226065528757435,0.0156365173016029,0.004186212287459,0.00741904936297698,0.00819080575809175,0.0107397050333741,0.00449233636616659,0.00808926748674579,0.0146010852965055,0.00470735947065075,0.00463079645636256,0.0112012814777622,0.00604802384605165,0.00723370007895038,0.0141147421866586,0.0245622644162443,0.00700407893872955
