Accession,Latitude,Longitude,Species
SEEDGWAS1845,-29.333333,-54.166667,Maize
SEEDGWAS1945,-29.333333,-54.166667,Maize
SEEDGWAS3853,-29.332224,-52.976335,Maize
SEEDGWAS3236,-29.099481,-50.622391,Maize
SEEDGWAS3846,-29.083933,-52.577322,Maize
SEEDGWAS518,-29.08,-58.98,Maize
SEEDGWAS1409,-28.93333333,-49.68333333,Maize
SEEDGWAS310,-28.93333333,-49.68333333,Maize
SEEDGWAS328,-28.93333333,-49.68333333,Maize
SEEDGWAS330,-28.93333333,-49.68333333,Maize
SEEDGWAS1410,-28.920044,-49.457185,Maize
SEEDGWAS859,-28.920044,-49.457185,Maize
SEEDGWAS1458,-28.920044,-49.457185,Maize
SEEDGWAS3633,-28.553929,-67.620503,Maize
SEEDGWAS3848,-28.528013,-53.997745,Maize
SEEDGWAS2025,-28.527081,-53.998021,Maize
SEEDGWAS2009,-28.51666667,-49.31666667,Maize
SEEDGWAS2010,-28.51666667,-49.31666667,Maize
SEEDGWAS243,-28.515684,-49.005651,Maize
SEEDGWAS297,-28.515684,-49.005651,Maize
SEEDGWAS854,-28.515684,-49.005651,Maize
SEEDGWAS302,-28.515684,-49.005651,Maize
SEEDGWAS873,-28.515684,-49.005651,Maize
SEEDGWAS894,-28.515684,-49.005651,Maize
SEEDGWAS2069,-28.461223,-53.849834,Maize
SEEDGWAS2195,-28.4,-66.21666667,Maize
SEEDGWAS3849,-28.366667,-53.883333,Maize
SEEDGWAS242,-28.366667,-53.883333,Maize
SEEDGWAS3248,-28.36666667,-53.88333333,Maize
SEEDGWAS3202,-28.365057,-54.283493,Maize
SEEDGWAS1922,-28.365057,-54.283493,Maize
SEEDGWAS3212,-28.365057,-54.283493,Maize
SEEDGWAS3213,-28.365057,-54.283493,Maize
SEEDGWAS1925,-28.365057,-54.283493,Maize
SEEDGWAS1935,-28.365057,-54.283493,Maize
SEEDGWAS1940,-28.365057,-54.283493,Maize
SEEDGWAS1944,-28.365057,-54.283493,Maize
SEEDGWAS1946,-28.365057,-54.283493,Maize
SEEDGWAS1947,-28.365057,-54.283493,Maize
SEEDGWAS1959,-28.365057,-54.283493,Maize
SEEDGWAS3873,-28.365057,-54.283493,Maize
SEEDGWAS3239,-28.365057,-54.283493,Maize
SEEDGWAS5322,-28.31619,-66.274516,Maize
SEEDGWAS2407,-28.29906,-52.408631,Maize
SEEDGWAS3857,-28.294527,-54.415499,Maize
SEEDGWAS3862,-28.294527,-54.415499,Maize
SEEDGWAS3207,-28.290932,-54.409057,Maize
SEEDGWAS1952,-28.290932,-54.409057,Maize
SEEDGWAS1460,-28.290932,-54.409057,Maize
SEEDGWAS3200,-28.263266,-54.009359,Maize
SEEDGWAS3856,-28.263266,-54.009359,Maize
SEEDGWAS3859,-28.263266,-54.009359,Maize
SEEDGWAS3208,-28.263266,-54.009359,Maize
SEEDGWAS3209,-28.263266,-54.009359,Maize
SEEDGWAS3860,-28.263266,-54.009359,Maize
SEEDGWAS1926,-28.263266,-54.009359,Maize
SEEDGWAS1929,-28.263266,-54.009359,Maize
SEEDGWAS1942,-28.263266,-54.009359,Maize
SEEDGWAS2011,-28.263266,-54.009359,Maize
SEEDGWAS2014,-28.263266,-54.009359,Maize
SEEDGWAS3955,-28.263266,-54.009359,Maize
SEEDGWAS2052,-28.263266,-54.009359,Maize
SEEDGWAS2053,-28.263266,-54.009359,Maize
SEEDGWAS1956,-28.22036,-53.774972,Maize
SEEDGWAS1924,-28.199076,-54.395018,Maize
SEEDGWAS1918,-28.169642,-54.724175,Maize
SEEDGWAS3951,-28.169642,-54.724175,Maize
SEEDGWAS1936,-28.169461,-54.230263,Maize
SEEDGWAS2070,-28.166197,-54.070144,Maize
SEEDGWAS1931,-28.082039,-53.716031,Maize
SEEDGWAS2528,-28.06666667,-67.56666667,Maize
SEEDGWAS4031,-28.05,-64.8,Maize
SEEDGWAS3204,-28.03333333,-54.33333333,Maize
SEEDGWAS1955,-28.03333333,-54.33333333,Maize
SEEDGWAS3957,-28.03333333,-54.33333333,Maize
SEEDGWAS1951,-28.033333,-54.333333,Maize
SEEDGWAS2027,-28.033333,-54.333333,Maize
SEEDGWAS3247,-28.033333,-54.333333,Maize
SEEDGWAS3850,-27.9431,-53.96135,Maize
SEEDGWAS1920,-27.9431,-53.96135,Maize
SEEDGWAS3858,-27.9431,-53.96135,Maize
SEEDGWAS1934,-27.9431,-53.96135,Maize
SEEDGWAS1954,-27.9431,-53.96135,Maize
SEEDGWAS2012,-27.9431,-53.96135,Maize
SEEDGWAS2015,-27.9431,-53.96135,Maize
SEEDGWAS2016,-27.9431,-53.96135,Maize
SEEDGWAS3871,-27.9431,-53.96135,Maize
SEEDGWAS3221,-27.9431,-53.96135,Maize
SEEDGWAS2051,-27.9431,-53.96135,Maize
SEEDGWAS536,-27.939614,-58.773539,Maize
SEEDGWAS2022,-27.93324,-53.946282,Maize
SEEDGWAS2026,-27.93324,-53.946282,Maize
SEEDGWAS1919,-27.899063,-54.02485,Maize
SEEDGWAS3861,-27.899063,-54.02485,Maize
SEEDGWAS1958,-27.899063,-54.02485,Maize
SEEDGWAS1921,-27.891122,-54.02062,Maize
SEEDGWAS1943,-27.841705,-54.18627,Maize
SEEDGWAS2036,-27.841705,-54.18627,Maize
SEEDGWAS2071,-27.742227,-50.29311,Maize
SEEDGWAS2117,-27.726783,-48.919942,Maize
SEEDGWAS1923,-27.7,-53.8,Maize
SEEDGWAS2639,-27.67,-67.03,Maize
SEEDGWAS3238,-27.658331,-54.766927,Maize
SEEDGWAS5283,-27.65,-67.03333333,Maize
SEEDGWAS3845,-27.616667,-52.233333,Maize
SEEDGWAS1917,-27.616667,-54.3,Maize
SEEDGWAS3235,-27.616667,-54.3,Maize
SEEDGWAS2168,-27.6,-55.31666667,Maize
SEEDGWAS5321,-27.589584,-66.305555,Maize
SEEDGWAS4191,-27.589584,-66.305555,Maize
SEEDGWAS345,-27.580314,-53.960459,Maize
SEEDGWAS4190,-27.5,-66.97,Maize
SEEDGWAS2193,-27.402597,-55.993256,Maize
SEEDGWAS2262,-27.33333333,-55.8,Maize
SEEDGWAS4030,-27.33333333,-54.71666667,Maize
SEEDGWAS3348,-27.263074,-65.193647,Maize
SEEDGWAS1957,-27.21666667,-49.65,Maize
SEEDGWAS2024,-27.21666667,-49.65,Maize
SEEDGWAS2037,-27.21666667,-49.65,Maize
SEEDGWAS992,-27.21666667,-61.2,Maize
SEEDGWAS2253,-27.21666667,-61.2,Maize
SEEDGWAS4895,-27.21666667,-61.2,Maize
SEEDGWAS2254,-27.21666667,-61.2,Maize
SEEDGWAS4896,-27.21666667,-61.2,Maize
SEEDGWAS2527,-27.14473,-54.879717,Maize
SEEDGWAS1731,-27.13333333,-61.13333333,Maize
SEEDGWAS2038,-27.11666667,-52.58333333,Maize
SEEDGWAS2039,-27.11666667,-52.58333333,Maize
SEEDGWAS2616,-27.074737,-52.996926,Maize
SEEDGWAS1027,-27.01666667,-59.85,Maize
SEEDGWAS2169,-26.93333333,-60.05,Maize
SEEDGWAS4589,-26.93333333,-60.05,Maize
SEEDGWAS2208,-26.9043,-56.842067,Maize
SEEDGWAS4170,-26.9,-66.13333333,Maize
SEEDGWAS520,-26.87,-60.45,Maize
SEEDGWAS521,-26.87,-60.45,Maize
SEEDGWAS1751,-26.87,-60.45,Maize
SEEDGWAS1891,-26.864407,-57.024295,Maize
SEEDGWAS3195,-26.864407,-57.024295,Maize
SEEDGWAS2206,-26.826938,-56.215775,Maize
SEEDGWAS3307,-26.826938,-56.215775,Maize
SEEDGWAS2207,-26.796219,-56.928119,Maize
SEEDGWAS3312,-26.796219,-56.928119,Maize
SEEDGWAS487,-26.78333333,-60.45,Maize
SEEDGWAS2617,-26.75,-53.56666667,Maize
SEEDGWAS2618,-26.75,-53.56666667,Maize
SEEDGWAS2619,-26.75,-53.56666667,Maize
SEEDGWAS3676,-26.75,-53.57,Maize
SEEDGWAS3306,-26.749205,-56.271583,Maize
SEEDGWAS4013,-26.73333333,-55.28333333,Maize
SEEDGWAS3311,-26.73333333,-55.28333333,Maize
SEEDGWAS519,-26.7,-60.83333333,Maize
SEEDGWAS488,-26.68333333,-60.73333333,Maize
SEEDGWAS1752,-26.68,-60.73,Maize
SEEDGWAS1039,-26.63,-54.13,Maize
SEEDGWAS2263,-26.58333333,-60.71666667,Maize
SEEDGWAS4014,-26.525322,-55.253825,Maize
SEEDGWAS3310,-26.525322,-55.253825,Maize
SEEDGWAS1408,-26.495538,-49.094245,Maize
SEEDGWAS4011,-26.46666667,-56.4,Maize
SEEDGWAS486,-26.355818,-59.55763,Maize
SEEDGWAS1729,-26.355818,-59.55763,Maize
SEEDGWAS1730,-26.355818,-59.55763,Maize
SEEDGWAS2633,-26.221327,-65.295122,Maize
SEEDGWAS4806,-26.221327,-65.295122,Maize
SEEDGWAS1749,-26.187748,-59.378135,Maize
SEEDGWAS547,-26.187748,-59.378135,Maize
SEEDGWAS1732,-26.187077,-59.376539,Maize
SEEDGWAS1698,-26.16666667,-59.31666667,Maize
SEEDGWAS525,-26.15,-59.63,Maize
SEEDGWAS2273,-26.145978,-58.25059,Maize
SEEDGWAS1040,-26.142484,-58.240208,Maize
SEEDGWAS2656,-26.11666667,-65.01666667,Maize
SEEDGWAS3194,-26.1,-55.933333,Maize
SEEDGWAS4012,-26.1,-55.933333,Maize
SEEDGWAS4272,-26.081481,-65.383235,Maize
SEEDGWAS998,-26.06666667,-60.56666667,Maize
SEEDGWAS2611,-26.035028,-53.076765,Maize
SEEDGWAS5345,-26.035028,-53.076765,Maize
SEEDGWAS2613,-26.035028,-53.076765,Maize
SEEDGWAS3675,-26.035028,-53.076765,Maize
SEEDGWAS3317,-25.98001,-54.727812,Maize
SEEDGWAS1903,-25.966667,-52.15,Maize
SEEDGWAS1904,-25.966667,-52.15,Maize
SEEDGWAS3347,-25.95,-60.62,Maize
SEEDGWAS3193,-25.916667,-57.15,Maize
SEEDGWAS3841,-25.916667,-57.15,Maize
SEEDGWAS3315,-25.9,-54.71,Maize
SEEDGWAS3316,-25.9,-54.71,Maize
SEEDGWAS1696,-25.859064,-54.341249,Maize
SEEDGWAS2028,-25.8,-49.75,Maize
SEEDGWAS3222,-25.8,-49.75,Maize
SEEDGWAS3244,-25.8,-49.75,Maize
SEEDGWAS2210,-25.754605,-56.812369,Maize
SEEDGWAS3313,-25.754605,-56.812369,Maize
SEEDGWAS543,-25.743184,-59.135576,Maize
SEEDGWAS544,-25.743184,-59.135576,Maize
SEEDGWAS545,-25.743184,-59.135576,Maize
SEEDGWAS3988,-25.721253,-59.133231,Maize
SEEDGWAS2255,-25.721253,-59.133231,Maize
SEEDGWAS4850,-25.72,-65,Maize
SEEDGWAS5366,-25.72,-65,Maize
SEEDGWAS453,-25.716416,-59.110072,Maize
SEEDGWAS2204,-25.68604,-56.258638,Maize
SEEDGWAS1852,-25.620658,-56.341191,Maize
SEEDGWAS1899,-25.611328,-56.321956,Maize
SEEDGWAS3289,-25.557527,-54.645177,Maize
SEEDGWAS3291,-25.557527,-54.645177,Maize
SEEDGWAS4003,-25.53333333,-64.96666667,Maize
SEEDGWAS4002,-25.48333333,-64.95,Maize
SEEDGWAS233,-25.47702,-56.855206,Maize
SEEDGWAS1841,-25.453824,-56.408868,Maize
SEEDGWAS2615,-25.41666667,-54.13333333,Maize
SEEDGWAS2274,-25.398244,-58.204427,Maize
SEEDGWAS3318,-25.360623,-54.751445,Maize
SEEDGWAS3319,-25.360623,-54.751445,Maize
SEEDGWAS1842,-25.333228,-57.558546,Maize
SEEDGWAS1733,-25.33,-59.68,Maize
SEEDGWAS490,-25.306407,-57.749216,Maize
SEEDGWAS4004,-25.3,-64.91666667,Maize
SEEDGWAS1041,-25.3,-58.75,Maize
SEEDGWAS5320,-25.276247,-65.330116,Maize
SEEDGWAS2614,-25.25,-54.08333333,Maize
SEEDGWAS2194,-25.228503,-66.201176,Maize
SEEDGWAS537,-25.207418,-58.325108,Maize
SEEDGWAS538,-25.207418,-58.325108,Maize
SEEDGWAS2170,-25.185831,-57.966463,Maize
SEEDGWAS3274,-25.185831,-57.966463,Maize
SEEDGWAS524,-25.154213,-59.272377,Maize
SEEDGWAS3275,-25.15,-59.96666667,Maize
SEEDGWAS3359,-25.13333333,-55.36666667,Maize
SEEDGWAS429,-25,-60,Maize
SEEDGWAS2171,-25,-60,Maize
SEEDGWAS3290,-25,-54.83333333,Maize
SEEDGWAS491,-25,-60,Maize
SEEDGWAS522,-25,-60,Maize
SEEDGWAS1697,-24.96666667,-58.56666667,Maize
SEEDGWAS523,-24.965509,-58.818594,Maize
SEEDGWAS2186,-24.93333333,-55.21666667,Maize
SEEDGWAS548,-24.843951,-60.040877,Maize
SEEDGWAS993,-24.833523,-60.025025,Maize
SEEDGWAS3338,-24.8,-60.45,Maize
SEEDGWAS3292,-24.698011,-54.863553,Maize
SEEDGWAS4018,-24.55,-56.4,Maize
SEEDGWAS3320,-24.523124,-54.824574,Maize
SEEDGWAS3323,-24.51,-55.7,Maize
SEEDGWAS2241,-24.460407,-56.891055,Maize
SEEDGWAS3328,-24.460407,-56.891055,Maize
SEEDGWAS4005,-24.36666667,-65.31666667,Maize
SEEDGWAS838,-24.278472,-47.18593,Maize
SEEDGWAS332,-24.278472,-47.18593,Maize
SEEDGWAS2632,-24.26666667,-65.36666667,Maize
SEEDGWAS4805,-24.26666667,-65.36666667,Maize
SEEDGWAS3294,-24.232884,-55.890666,Maize
SEEDGWAS3327,-24.21666667,-56.56666667,Maize
SEEDGWAS1042,-24.164012,-61.333411,Maize
SEEDGWAS144,-24.11666667,-49.33333333,Maize
SEEDGWAS3293,-24.110432,-54.610738,Maize
SEEDGWAS4015,-24.08333333,-54.78333333,Maize
SEEDGWAS2238,-24.08333333,-54.16666667,Maize
SEEDGWAS2239,-24.08333333,-54.16666667,Maize
SEEDGWAS3321,-24.065822,-54.941988,Maize
SEEDGWAS2211,-24.065822,-54.941988,Maize
SEEDGWAS3330,-24.05468,-56.431091,Maize
SEEDGWAS1909,-24,-48.3,Maize
SEEDGWAS1851,-23.916667,-51.866667,Maize
SEEDGWAS1855,-23.916667,-51.866667,Maize
SEEDGWAS1856,-23.916667,-51.866667,Maize
SEEDGWAS1864,-23.916667,-51.866667,Maize
SEEDGWAS2049,-23.916667,-51.866667,Maize
SEEDGWAS1895,-23.91666667,-51.86666667,Maize
SEEDGWAS2187,-23.900264,-55.407662,Maize
